award_id,cup_name
A-1,English Champion
A-2,FA Cup Winner
A-3,English League Cup winner
A-4,English Supercup Winner
A-5,Champions League Winner
A-6,FIFA Club World Cup winner
A-7,UEFA Supercup Winner
A-8,Europa League Winner
A-9,English 2nd tier champion
A-10,German Champion
A-11,German Cup winner 
A-12,German Super Cup Winner
A-13,German 2. Bundesliga Champion
A-14,Italian Cup winner
A-15,Italian Champion
A-16,Italian Super Cup winner
A-17,Conference League winner
A-18,Italian Lega Pro Champion (A)
A-19,Scudetto Serie D
A-20,Italian Serie B champion
A-21,Italian Lega Pro Champion (C)
A-22,French Champion
A-23,French Cup winner 
A-24,French league cup winner
A-25,French Supercup Winner
A-26,Spanish Champion
A-27,Spanish Super Cup winner
A-28,Spanish Cup winner 
A-29,Spanish 2nd tier champion
