nation,club_id,win_year,award_id
England,281,2021,A-1
England,281,2020,A-1
England,281,2018,A-1
England,281,2017,A-1
England,281,2018,A-2
England,281,2020,A-3
England,281,2019,A-3
England,281,2018,A-3
England,281,2017,A-3
England,281,2015,A-3
England,281,2019,A-4
England,281,2018,A-4
England,631,2020,A-5
England,631,2021,A-6
England,631,2016,A-1
England,631,2021,A-7
England,631,2018,A-8
England,631,2017,A-2
England,11,2019,A-2
England,11,2016,A-2
England,11,2020,A-4
England,11,2017,A-4
England,11,2015,A-4
England,31,2018,A-5
England,31,2019,A-6
England,31,2019,A-1
England,31,2019,A-7
England,31,2021,A-2
England,31,2021,A-3
England,985,2016,A-8
England,985,2015,A-2
England,985,2016,A-3
England,985,2016,A-4
England,762,2016,A-9
England,1003,2015,A-1
England,1003,2020,A-2
England,1003,2021,A-4
England,543,2017,A-9
England,399,2019,A-9
England,931,2021,A-9
Germany,27,2019,A-5
Germany,27,2020,A-6
Germany,27,2021,A-10
Germany,27,2020,A-10
Germany,27,2019,A-10
Germany,27,2018,A-10
Germany,27,2017,A-10
Germany,27,2016,A-10
Germany,27,2015,A-10
Germany,27,2020,A-7
Germany,27,2019,A-11
Germany,27,2018,A-11
Germany,27,2015,A-11
Germany,27,2021,A-12
Germany,27,2020,A-12
Germany,27,2018,A-12
Germany,27,2017,A-12
Germany,27,2016,A-12
Germany,16,2020,A-11
Germany,16,2016,A-11
Germany,16,2019,A-12
Germany,23826,2021,A-11
Germany,24,2021,A-8
Germany,24,2017,A-11
Germany,82,2015,A-12
Germany,60,2015,A-13
Germany,79,2016,A-13
Germany,3,2018,A-13
Germany,33,2021,A-13
Germany,80,2020,A-13
Italy,6195,2019,A-14
Italy,5,2021,A-15
Italy,5,2016,A-16
Italy,46,2020,A-15
Italy,46,2021,A-14
Italy,46,2021,A-16
Italy,506,2019,A-15
Italy,506,2018,A-15
Italy,506,2017,A-15
Italy,506,2016,A-15
Italy,506,2015,A-15
Italy,506,2020,A-14
Italy,506,2017,A-14
Italy,506,2016,A-14
Italy,506,2015,A-14
Italy,506,2020,A-16
Italy,506,2018,A-16
Italy,506,2015,A-16
Italy,12,2021,A-17
Italy,398,2018,A-14
Italy,398,2019,A-16
Italy,398,2017,A-16
Italy,2919,2019,A-18
Italy,2919,2016,A-19
Italy,749,2020,A-20
Italy,749,2017,A-20
Italy,1005,2021,A-20
Italy,1005,2017,A-21
Italy,2239,2016,A-18
France,583,2021,A-22
France,583,2019,A-22
France,583,2018,A-22
France,583,2017,A-22
France,583,2015,A-22
France,583,2020,A-23
France,583,2019,A-23
France,583,2017,A-23
France,583,2016,A-23
France,583,2015,A-23
France,583,2019,A-24
France,583,2017,A-24
France,583,2016,A-24
France,583,2015,A-24
France,583,2020,A-25
France,583,2019,A-25
France,583,2018,A-25
France,583,2017,A-25
France,583,2016,A-25
France,583,2015,A-25
France,162,2016,A-22
France,273,2018,A-23
France,1082,2020,A-22
France,1082,2021,A-25
France,995,2021,A-23
France,667,2018,A-24
Spain,418,2021,A-5
Spain,418,2017,A-5
Spain,418,2016,A-5
Spain,418,2015,A-5
Spain,418,2018,A-6
Spain,418,2017,A-6
Spain,418,2016,A-6
Spain,418,2021,A-26
Spain,418,2019,A-26
Spain,418,2016,A-26
Spain,418,2017,A-7
Spain,418,2016,A-7
Spain,418,2021,A-27
Spain,418,2019,A-27
Spain,418,2017,A-27
Spain,131,2015,A-6
Spain,131,2018,A-26
Spain,131,2017,A-26
Spain,131,2015,A-26
Spain,131,2015,A-7
Spain,131,2020,A-28
Spain,131,2017,A-28
Spain,131,2016,A-28
Spain,131,2015,A-28
Spain,131,2018,A-27
Spain,131,2016,A-27
Spain,13,2020,A-26
Spain,13,2018,A-7
Spain,13,2017,A-8
Spain,681,2019,A-28
Spain,1050,2020,A-8
Spain,150,2021,A-28
Spain,621,2020,A-27
Spain,621,2015,A-27
Spain,1049,2018,A-28
Spain,368,2019,A-8
Spain,368,2015,A-8
Spain,331,2018,A-29
Spain,714,2020,A-29
Spain,367,2017,A-29
Spain,3302,2021,A-29
