id,Season,income,expend,overall_balance,ARRIVALS,DEPARTURES,League name,Average age of players,Total market value
631,2015,87490000.0,96500000.0,-9010000.0,32,37,Premier League,25.5,1020000000.0
281,2015,67440000.0,208470000.0,-141030000.0,23,20,Premier League,26.8,1050000000.0
11,2015,2500000.0,26500000.0,-24000000.0,11,13,Premier League,25.2,890000000.0
985,2015,100670000.0,156000000.0,-55330000.0,20,22,Premier League,26.0,795700000.0
31,2015,90550000.0,126500000.0,-35950000.0,24,23,Premier League,26.7,879000000.0
148,2015,87250000.0,71000000.0,16250000.0,21,11,Premier League,26.7,680300000.0
29,2015,11000000.0,48200000.0,-37200000.0,15,14,Premier League,27.4,352900000.0
180,2015,52700000.0,60100000.0,-7400000.0,16,15,Premier League,25.5,397000000.0
379,2015,18520000.0,52700000.0,-34190000.0,24,21,Premier League,28.2,451500000.0
762,2015,5630000.0,107910000.0,-102280000.0,20,24,Premier League,27.4,494300000.0
1003,2015,9450000.0,49900000.0,-40450000.0,26,21,Premier League,27.0,443100000.0
512,2015,23200000.0,53650000.0,-30450000.0,14,13,Championship,26.7,52250000.0
2288,2015,16810000.0,21810000.0,-5010000.0,23,18,Championship,24.8,44750000.0
1010,2015,9750000.0,82800000.0,-73050000.0,27,31,Championship,26.3,129550000.00000001
873,2015,5400000.0,28800000.0,-23400000.0,19,16,Premier League,27.0,309950000.0
405,2015,64700000.0,66550000.0,-1850000.0,27,26,Premier League,27.2,437000000.0
1123,2015,21490000.0,50500000.0,-29010000.0,25,28,Championship,26.0,104600000.0
984,2015,12920000.0,42900000.0,-29980000.0,13,11,Championship,27.8,63950000.0
289,2015,11000000.0,66050000.0,-55050000.0,24,26,Championship,23.5,59250000.0
989,2015,650000.0,55110000.0,-54460000.0,28,30,Premier League,26.6,243700000.0
631,2016,108900000.0,132800000.00000001,-23900000.0,29,27,Premier League,25.5,1020000000.0
281,2016,35350000.0,216250000.0,-180900000.0,23,29,Premier League,26.8,1050000000.0
148,2016,52300000.0,83500000.0,-31200000.0,8,8,Premier League,26.7,680300000.0
11,2016,10350000.0,113000000.0,-102650000.0,12,11,Premier League,25.2,890000000.0
985,2016,47250000.0,185000000.0,-137750000.0,14,9,Premier League,26.0,795700000.0
31,2016,85380000.0,79900000.0,5480000.0,18,20,Premier League,26.7,879000000.0
29,2016,60800000.0,86000000.0,-25200000.0,19,18,Premier League,27.4,352900000.0
379,2016,41000000.0,83500000.0,-42500000.0,15,22,Premier League,28.2,451500000.0
180,2016,85050000.0,68900000.0,16149999.999999998,9,12,Premier League,25.5,397000000.0
873,2016,50200000.0,101200000.0,-51000000.0,21,18,Premier League,27.0,309950000.0
1003,2016,66050000.0,92100000.0,-26050000.0,17,15,Premier League,27.0,443100000.0
512,2016,3800000.0,42170000.0,-38370000.0,12,11,Championship,26.7,52250000.0
1010,2016,58100000.0,70450000.0,-12350000.0,30,28,Championship,26.3,129550000.00000001
2288,2016,49300000.0,58100000.0,-8800000.0,16,20,Championship,24.8,44750000.0
3008,2016,28900000.0,40000000.0,-11100000.0,16,22,Championship,25.0,59200000.0
289,2016,23770000.0,41900000.0,-18130000.0,23,25,Championship,23.5,59250000.0
989,2016,23690000.0,40690000.0,-17000000.0,26,17,Premier League,26.6,243700000.0
641,2016,13500000.0,47950000.0,-34450000.0,19,18,Championship,26.1,81550000.0
984,2016,26980000.0,37900000.0,-10930000.0,14,12,Championship,27.8,63950000.0
1132,2016,1200000.0,45600000.0,-44400000.0,21,22,Championship,25.1,131550000.00000001
281,2017,91350000.0,317500000.0,-226150000.0,30,29,Premier League,26.8,1050000000.0
631,2017,194600000.0,260500000.0,-65900000.00000001,29,36,Premier League,25.5,1020000000.0
31,2017,184500000.0,173650000.0,10850000.0,15,13,Premier League,26.7,879000000.0
985,2017,45500000.0,198400000.0,-152900000.0,11,13,Premier League,26.0,795700000.0
148,2017,103800000.0,121000000.0,-17200000.0,10,13,Premier League,26.7,680300000.0
11,2017,162000000.0,152850000.0,9150000.0,16,10,Premier League,25.2,890000000.0
29,2017,126380000.0,203200000.0,-76820000.0,20,22,Premier League,27.4,352900000.0
1003,2017,50100000.0,83850000.0,-33750000.0,13,14,Premier League,27.0,443100000.0
180,2017,98350000.0,61250000.0,37100000.0,13,11,Premier League,25.5,397000000.0
379,2017,69020000.0,56800000.0,12220000.0,23,14,Premier League,28.2,451500000.0
873,2017,3000000.0,48950000.0,-45950000.0,17,15,Premier League,27.0,309950000.0
762,2017,21220000.0,46500000.0,-25280000.0,26,25,Premier League,27.4,494300000.0
1010,2017,18740000.0,73400000.0,-54660000.0,27,30,Championship,26.3,129550000.00000001
512,2017,35140000.0,57700000.0,-22560000.0,17,17,Championship,26.7,52250000.0
1132,2017,50000000.0,35740000.0,14260000.0,18,17,Championship,25.1,131550000.00000001
984,2017,2049999.9999999998,53500000.0,-51450000.0,10,14,Championship,27.8,63950000.0
