Coach name,Appointed Date,id
Luis Enrique,2014-07-01,131.0
Jorge Sampaoli,2016-07-01,368.0
Pako Ayestarán,2016-03-30,1049.0
Marcelino,2013-01-15,1050.0
Ernesto Valverde,2013-07-01,621.0
Eduardo Berizzo,2014-07-01,940.0
Gaizka Garitano,2016-07-01,897.0
Mauricio Pellegrino,2016-07-01,1108.0
Juande Ramos,2016-07-01,1084.0
Quique Setién,2015-10-19,472.0
Gustavo Poyet,2016-05-11,150.0
Paco Jémez,2016-07-01,16795.0
Abelardo,2014-05-05,2448.0
Enrique Martín,2015-05-05,331.0
Zinédine Zidane,2016-01-04,418.0
Eduardo Berizzo,2017-07-01,368.0
Cuco Ziganda,2017-07-01,621.0
Eusebio,2015-11-09,681.0
Fran Escribá,2016-08-11,1050.0
Juan Carlos Unzué,2017-07-01,940.0
Quique Sánchez Flores,2016-07-01,714.0
Manolo Márquez,2017-07-03,472.0
Pablo Machín,2014-03-10,12321.0
Luis Zubeldía,2017-07-01,1108.0
Pepe Mel,2017-02-28,897.0
Juan Muñiz,2016-07-01,3368.0
Asier Garitano,2013-06-28,1244.0
Michel,2017-03-07,1084.0
Julen Lopetegui,2018-07-01,418.0
Pablo Machín,2018-07-01,368.0
Asier Garitano,2018-07-01,681.0
Quique Setién,2017-07-01,150.0
Eduardo Berizzo,2018-07-01,621.0
Antonio Mohamed,2018-07-01,940.0
Javier Calleja,2017-09-25,1050.0
Rubi,2018-07-01,714.0
Abelardo,2017-12-01,1108.0
Eusebio,2018-07-01,12321.0
Leo Franco,2018-07-01,5358.0
Ernesto Valverde,2017-07-01,131.0
Marcelino,2017-07-01,1049.0
Rubi,2019-07-01,150.0
Fran Escribá,2019-03-03,940.0
David Gallego,2019-07-01,714.0
Mauricio Pellegrino,2018-07-01,1244.0
Asier Garitano,2019-07-01,1108.0
Vicente Moreno,2017-07-01,237.0
Quique Setién,2020-01-13,131.0
Zinédine Zidane,2019-03-11,418.0
Javier Calleja,2019-01-29,1050.0
Javi Gracia,2020-07-27,1049.0
Gaizka Garitano,2018-12-05,621.0
Pepe Bordalás,2016-09-27,3709.0
Óscar García,2019-11-04,940.0
Diego Martínez,2018-07-01,16795.0
José Luis Mendilibar,2015-07-01,1533.0
Pablo Machín,2020-08-05,1108.0
Míchel,2019-07-01,5358.0
Sergio,2018-04-10,366.0
Jorge Almirón,2020-08-26,1531.0
Carlo Ancelotti,2021-07-01,418.0
Ronald Koeman,2020-08-19,131.0
Diego Simeone,2011-12-23,13.0
Unai Emery,2020-07-23,1050.0
