,player_id,name,birth_date,height,current_international,main_position,foot,current_club,goals_scored,goals_assisted,goals_conceded,clean_sheets,total_appearence,agent
0,108390,Thibaut Courtois,"['May', '11', '1992']",200.0,Belgium,Goalkeeper,left,Real Madrid,-,1,542,239,580,Christophe Henrotay
1,404839,Andriy Lunin,"['Feb', '11', '1999']",191.0,Ukraine,Goalkeeper,right,Real Madrid,-,-,124,34,107,Relatives
2,623525,Luis López,"['May', '8', '2001']",193.0,Spain,Goalkeeper,left,RM Castilla,-,-,37,6,30,Best of You
3,623526,Toni Fuidias,"['Apr', '15', '2001']",195.0,Spain,Goalkeeper,right,Girona,-,1,57,8,43,Relatives
4,926850,Diego Piñeiro,"['Feb', '13', '2004']",,Spain,Goalkeeper,,Real Madrid U19,-,-,13,3,10,Manuel García ...
5,401530,Éder Militão,"['Jan', '18', '1998']",186.0,Brazil,Defender Centre Back,right,Real Madrid,19,9,nan,nan,224,UJ Football Talent
6,59016,David Alaba,"['Jun', '24', '1992']",180.0,Austria,Defender Centre Back,left,Real Madrid,49,73,nan,nan,604,Relatives
7,58884,Nacho Fernández,"['Jan', '18', '1990']",180.0,Spain,Defender Centre Back,right,Real Madrid,20,9,nan,nan,427,Niagara Sports ...
8,251896,Jesús Vallejo,"['Jan', '5', '1997']",184.0,Spain,Defender Centre Back,right,Real Madrid,3,3,nan,nan,170,
9,618341,Mario Gila,"['Aug', '29', '2000']",185.0,Spain,Defender Centre Back,right,Lazio,6,3,nan,nan,90,Footfeel ISM
10,662261,Rafa Marín,"['May', '19', '2002']",191.0,Spain,Defender Centre Back,right,RM Castilla,3,1,nan,nan,64,LEADERBROCK
11,291417,Ferland Mendy,"['Jun', '8', '1995']",180.0,France,Defender Left Back,left,Real Madrid,10,23,nan,nan,262,FS Management
12,525299,Miguel Gutiérrez,"['Jul', '27', '2001']",180.0,Spain,Defender Left Back,left,Girona,9,15,nan,nan,91,Wasserman
13,44501,Marcelo,"['May', '12', '1988']",174.0,Brazil,Defender Left Back,left,Fluminense,45,103,nan,nan,576,Relatives
14,138927,Daniel Carvajal,"['Jan', '11', '1992']",173.0,Spain,Defender Right Back,right,Real Madrid,11,76,nan,nan,477,Ginés Carvajal
15,221316,Lucas Vázquez,"['Jul', '1', '1991']",173.0,Spain,Defender Right Back,right,Real Madrid,52,77,nan,nan,440,AC Talent
16,280730,Álvaro Odriozola,"['Dec', '14', '1995']",176.0,Spain,Defender Right Back,right,Real Madrid,9,27,nan,nan,231,Best of You
17,537759,Sergio Santos,"['Jan', '3', '2001']",180.0,Spain,Defender Right Back,right,CD Mirandés,2,4,nan,nan,67,Epic Sports
18,16306,Casemiro,"['Feb', '23', '1992']",185.0,Brazil,midfield Defensive Midfield,right,Man Utd,49,48,nan,nan,515,Best of You
19,495621,Antonio Blanco,"['Jul', '23', '2000']",176.0,Spain,midfield Defensive Midfield,right,Alavés,2,4,nan,nan,109,
20,369081,Federico Valverde,"['Jul', '22', '1998']",182.0,Uruguay,midfield Central Midfield,right,Real Madrid,21,18,nan,nan,276,Wasserman
