,player_id,season,Age,Competition,Club,club_id,position_group,New_season,Squad,Appearances,club_clean_sheet,player_clean_sheet,Goals conceded,PPG,Goals,Own goals,Assists,Penalty goals,Yellow cards,Second yellow cards,Red cards,Substitutions on,Substitutions off,Minutes played,Minutes per goal,market_value
1,61560,2017,27,Premier League,Leicester City,1003,midfield,False,35,34,8,0,0,1.29,2,0,7,0,5,0,1,4,10,2543,1272,10000000.0
2,65467,2017,29,Premier League,Leicester City,1003,midfield,False,29,19,8,0,0,1.42,3,0,0,0,0,0,0,2,7,1414,471,10000000.0
4,341501,2017,19,Premier League,Leicester City,1003,midfield,False,8,8,8,0,0,0.88,0,0,1,0,1,0,0,4,2,375,0,1000000.0
7,129588,2021,27,Premier League,Leicester City,1003,midfield,False,3,0,7,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13000000.0
8,249565,2021,24,Premier League,Leicester City,1003,midfield,False,33,32,7,0,0,1.47,6,0,4,2,3,0,0,3,5,2634,439,55000000.0
9,274839,2021,24,Premier League,Leicester City,1003,midfield,False,21,19,7,0,0,1.32,0,0,0,0,4,0,0,1,2,1619,0,60000000.0
10,294057,2021,24,Premier League,Leicester City,1003,midfield,False,35,35,7,0,0,1.4,12,0,8,0,3,0,0,7,14,2466,206,50000000.0
11,341501,2021,23,Premier League,Leicester City,1003,midfield,False,31,6,7,0,0,1.33,0,0,0,0,1,0,0,2,3,286,0,4000000.0
13,475188,2021,22,Premier League,Leicester City,1003,midfield,False,36,28,7,0,0,1.46,1,0,2,0,4,0,0,5,4,2104,2104,8000000.0
16,3333,2017,31,Premier League,Liverpool FC,31,midfield,False,37,32,10,0,0,2.06,0,0,3,0,3,0,0,16,3,1763,0,15000000.0
17,43530,2017,29,Premier League,Liverpool FC,31,midfield,False,14,12,10,0,0,2.33,0,0,0,0,1,0,0,11,2,236,0,25000000.0
18,49499,2017,26,Premier League,Liverpool FC,31,midfield,False,35,33,10,0,0,2.03,1,0,2,0,1,0,0,6,6,2387,2387,30000000.0
25,43530,2018,30,Premier League,Liverpool FC,31,midfield,False,24,13,21,0,0,2.54,0,0,0,0,1,0,0,8,5,464,0,15000000.0
26,49499,2018,27,Premier League,Liverpool FC,31,midfield,False,35,35,21,0,0,2.57,3,0,0,0,3,0,0,3,13,2735,912,50000000.0
