,player_id,season,Age,Competition,Club,club_id,position_group,New_season,Squad,Appearances,PPG,Goals,Assists,Penalty goals,Minutes per goal,market_value
1,174915,2017,29,Premier League,Leicester City,1003,Attack,False,19,12,1.0,1,1,0,239,18000000.0
2,197838,2017,30,Premier League,Leicester City,1003,Attack,False,37,37,1.19,20,1,5,163,20000000.0
4,295330,2017,20,Premier League,Leicester City,1003,Attack,True,32,21,0.81,3,3,0,274,15000000.0
5,398065,2017,19,Premier League,Leicester City,1003,Attack,False,6,3,1.33,0,0,0,0,250000.0
6,197838,2021,34,Premier League,Leicester City,1003,Attack,False,27,25,1.56,15,2,0,120,5000000.0
7,246968,2021,27,Premier League,Leicester City,1003,Attack,False,32,14,1.14,2,3,0,221,10000000.0
8,295330,2021,24,Premier League,Leicester City,1003,Attack,False,35,26,1.12,4,5,0,315,20000000.0
9,365172,2021,22,Premier League,Leicester City,1003,Attack,False,36,23,1.17,5,3,0,232,20000000.0
12,80444,2017,25,Premier League,Liverpool FC,31,Attack,False,15,14,1.79,7,6,0,160,100000000.0
13,80444,2017,25,Premier League,Liverpool FC,31,Attack,False,15,14,1.79,7,6,0,160,100000000.0
15,134294,2017,24,Premier League,Liverpool FC,31,Attack,False,17,8,1.63,1,0,0,265,8000000.0
16,148368,2017,22,Premier League,Liverpool FC,31,Attack,False,2,1,1.0,0,0,0,0,10000000.0
17,148455,2017,25,Premier League,Liverpool FC,31,Attack,True,36,36,1.97,32,11,1,91,150000000.0
19,131789,2018,26,Premier League,Liverpool FC,31,Attack,False,34,34,2.5,12,7,1,218,80000000.0
21,148455,2018,26,Premier League,Liverpool FC,31,Attack,False,38,38,2.55,22,10,3,148,150000000.0
23,131789,2019,27,Premier League,Liverpool FC,31,Attack,False,38,38,2.61,9,8,0,334,72000000.0
25,148455,2019,27,Premier League,Liverpool FC,31,Attack,False,37,34,2.68,19,10,3,152,120000000.0
26,165793,2019,24,Premier League,Liverpool FC,31,Attack,False,17,10,1.9,0,0,0,0,10000000.0
29,148368,2020,25,Premier League,Liverpool FC,31,Attack,False,26,9,1.33,0,0,0,0,12000000.0
30,148455,2020,28,Premier League,Liverpool FC,31,Attack,False,37,37,1.78,22,5,6,140,100000000.0
31,165793,2020,25,Premier League,Liverpool FC,31,Attack,False,20,9,1.89,1,0,0,286,12000000.0
33,340950,2020,23,Premier League,Liverpool FC,31,Attack,True,19,19,2.0,9,0,0,124,45000000.0
35,148368,2021,26,Premier League,Liverpool FC,31,Attack,False,18,7,2.57,3,1,0,42,12000000.0
37,165793,2021,26,Premier League,Liverpool FC,31,Attack,False,26,11,2.55,3,0,0,59,12000000.0
40,480692,2021,24,Premier League,Liverpool FC,31,Attack,False,16,13,2.69,4,3,0,241,65000000.0
42,3455,2017,35,Premier League,Manchester United,985,Attack,False,8,5,2.0,0,0,0,0,4000000.0
43,40433,2017,28,Premier League,Manchester United,985,Attack,True,13,12,2.08,2,3,0,525,70000000.0
44,96341,2017,24,Premier League,Manchester United,985,Attack,True,34,34,2.18,16,7,0,179,90000000.0
45,182877,2017,21,Premier League,Manchester United,985,Attack,False,34,30,2.03,9,5,1,176,65000000.0
47,3455,2019,37,Serie A,AC Milan,5,Attack,True,18,18,2.11,10,5,2,136,2800000.0
48,111961,2019,25,Serie A,AC Milan,5,Attack,False,20,16,1.31,1,2,0,1361,17500000.0
49,187587,2019,25,Serie A,AC Milan,5,Attack,False,34,26,1.77,11,3,0,127,24000000.0
50,195171,2019,24,Serie A,AC Milan,5,Attack,False,29,22,1.73,2,3,0,608,11000000.0
51,198008,2019,23,Serie A,AC Milan,5,Attack,False,2,1,3.0,0,0,0,0,16000000.0
52,327757,2019,24,Serie A,AC Milan,5,Attack,False,21,18,1.22,4,0,3,297,21500000.0
53,327757,2019,24,Serie A,AC Milan,5,Attack,False,21,18,1.22,4,0,3,297,21500000.0
56,3455,2020,38,Serie A,AC Milan,5,Attack,False,19,19,2.21,15,2,3,100,4000000.0
59,357164,2020,21,Serie A,AC Milan,5,Attack,False,31,30,1.9,6,6,0,322,25000000.0
61,422355,2020,20,Serie A,AC Milan,5,Attack,False,35,18,1.94,2,0,0,260,9500000.0
64,82442,2021,34,Serie A,AC Milan,5,Attack,True,30,29,2.34,11,4,2,173,3500000.0
66,195171,2021,26,Serie A,AC Milan,5,Attack,False,22,5,2.0,0,2,0,0,4000000.0
67,357164,2021,22,Serie A,AC Milan,5,Attack,False,35,34,2.32,11,10,0,238,70000000.0
68,364133,2021,20,Serie A,AC Milan,5,Attack,True,12,6,2.5,0,0,0,0,4500000.0
