,player_id,Season,Date,Left,Joined,MV,Fee
0,108390,18/19,"Aug9,2018",Chelsea,RealMadrid,€65.00m,€35.00m
1,404839,19/20,"Jul21,2020",RealOviedo,RealMadrid,€2.70m,Endofloan
2,404839,19/20,"Jan15,2020",RealMadrid,RealOviedo,€3.00m,loantransfer
3,404839,19/20,"Jan14,2020",RealValladolid,RealMadrid,€3.00m,Endofloan
4,404839,19/20,"Aug13,2019",RealMadrid,RealValladolid,€7.50m,loantransfer
5,404839,18/19,"Jun30,2019",CDLeganés,RealMadrid,€7.50m,Endofloan
6,404839,18/19,"Aug27,2018",RealMadrid,CDLeganés,€8.50m,loantransfer
7,404839,18/19,"Jul1,2018",ZoryaLugansk,RealMadrid,€3.50m,€8.50m
8,404839,17/18,"Jul6,2017",Dnipro,ZoryaLugansk,€700k,?
9,404839,16/17,"Jul1,2016",DniproU19,Dnipro,-,-
10,404839,15/16,"Jul1,2015",MetalistU19,DniproU19,-,?
11,623525,20/21,"Aug27,2020",RealMadridU19,RMCastilla,-,-
12,623525,19/20,"Jul1,2019",RealMadridU18,RealMadridU19,-,-
13,623525,17/18,"Jul1,2018",R.MadridYth.,RealMadridU18,-,-
14,623525,15/16,"Jul1,2015",RealMurciaYou,R.MadridYth.,-,?
15,623526,20/21,"Aug1,2020",RealMadridU19,RMCastilla,-,-
16,623526,19/20,"Jul1,2019",RealMadridU18,RealMadridU19,-,-
17,623526,18/19,"Jul1,2018",RealMadridU17,RealMadridU18,-,-
18,623526,17/18,"Jul1,2017",R.MadridYth.,RealMadridU17,-,-
19,926850,21/22,"Jul1,2021",RealMadridU17,RealMadridU19,-,-
20,926850,20/21,"Jul1,2020",R.MadridYth.,RealMadridU17,-,-
21,401530,19/20,"Jul1,2019",FCPorto,RealMadrid,€50.00m,€50.00m
22,401530,18/19,"Aug7,2018",SãoPaulo,FCPorto,€8.00m,€7.00m
23,401530,16/17,"Jan1,2017",SãoPauloU20,SãoPaulo,-,-
24,401530,15/16,"Jan1,2016",SãoPauloU17,SãoPauloU20,-,-
25,59016,21/22,"Jul1,2021",BayernMunich,RealMadrid,€55.00m,freetransfer
26,251896,20/21,"Jun30,2021",GranadaCF,RealMadrid,€5.00m,Endofloan
27,251896,20/21,"Aug18,2020",RealMadrid,GranadaCF,€6.00m,loantransfer
28,251896,19/20,"Jul20,2020",GranadaCF,RealMadrid,€6.00m,Endofloan
29,251896,19/20,"Jan25,2020",RealMadrid,GranadaCF,€10.00m,loantransfer
30,251896,19/20,"Jan24,2020",Wolves,RealMadrid,€10.00m,Endofloan
31,251896,19/20,"Jul27,2019",RealMadrid,Wolves,€10.00m,loantransfer
32,251896,16/17,"Jun30,2017",E.Frankfurt,RealMadrid,€8.00m,Endofloan
33,251896,16/17,"Jul12,2016",RealMadrid,E.Frankfurt,€3.00m,loantransfer
34,251896,15/16,"Jun30,2016",RealZaragoza,RealMadrid,€3.00m,Endofloan
35,251896,15/16,"Aug1,2015",RealMadrid,RealZaragoza,€2.00m,loantransfer
36,251896,15/16,"Jul31,2015",RealZaragoza,RealMadrid,€2.00m,€5.00m
37,618341,19/20,"Jul1,2019",RealMadridU19,RMCastilla,-,-
38,618341,18/19,"Jul1,2018",EspanyolU19,RealMadridU19,-,?
39,618341,17/18,"Jul1,2017",CFDammYouth,EspanyolU19,-,?
40,662261,21/22,"Jul1,2021",RealMadridU19,RMCastilla,-,-
41,662261,20/21,"Jul1,2020",RealMadridU18,RealMadridU19,-,-
42,662261,19/20,"Jul1,2019",RealMadridU17,RealMadridU18,-,-
43,662261,18/19,"Jul1,2018",R.MadridYth.,RealMadridU17,-,-
44,662261,16/17,"Jul1,2016",SevillaFCYth.,R.MadridYth.,-,?
45,291417,19/20,"Jul1,2019",OlympiqueLyon,RealMadrid,€30.00m,€48.00m
46,291417,17/18,"Jul1,2017",ACLeHavre,OlympiqueLyon,€1.25m,€5.00m
47,291417,15/16,"Jul1,2015",LeHavreB,ACLeHavre,-,-
48,525299,20/21,"Jul1,2020",RealMadridU19,RMCastilla,-,-
49,525299,18/19,"Jul1,2018",RealMadridU18,RealMadridU19,-,-
50,525299,17/18,"Jul1,2017",RealMadridU17,RealMadridU18,-,-
51,525299,16/17,"Jul1,2016",R.MadridYth.,RealMadridU17,-,-
52,221316,15/16,"Jul2,2015",Espanyol,RealMadrid,€5.00m,€1.00m
53,221316,15/16,"Jul1,2015",RMCastilla,Espanyol,€5.00m,€500k
54,280730,21/22,"Jun30,2022",Fiorentina,RealMadrid,€12.00m,Endofloan
55,280730,21/22,"Aug28,2021",RealMadrid,Fiorentina,€10.00m,loantransfer
56,280730,19/20,"Aug24,2020",BayernMunich,RealMadrid,€16.00m,Endofloan
57,280730,19/20,"Jan22,2020",RealMadrid,BayernMunich,€20.00m,loantransfer
58,280730,18/19,"Jul5,2018",RealSociedad,RealMadrid,€25.00m,€32.00m
59,280730,16/17,"Jan9,2017",RealSociedadB,RealSociedad,€300k,-
60,537759,20/21,"Aug28,2020",RealMadridU19,RMCastilla,-,-
61,537759,19/20,"Jul1,2019",RealMadridU18,RealMadridU19,-,-
62,537759,17/18,"Jul1,2017",R.MadridYth.,RealMadridU18,-,-
63,16306,15/16,"Jul2,2015",FCPorto,RealMadrid,€10.00m,€7.50m
64,16306,15/16,"Jul1,2015",RealMadrid,FCPorto,€10.00m,€15.00m
65,495621,19/20,"Jul1,2019",RealMadridU19,RMCastilla,-,-
66,495621,17/18,"Jul1,2017",RealMadridU18,RealMadridU19,-,-
67,495621,16/17,"Jul1,2016",RealMadridU17,RealMadridU18,-,-
68,369081,18/19,"Jul1,2018",RMCastilla,RealMadrid,€6.00m,-
69,369081,17/18,"Jun30,2018",Dep.LaCoruña,RMCastilla,€6.00m,Endofloan
70,369081,17/18,"Jul1,2017",RMCastilla,Dep.LaCoruña,€3.00m,loantransfer
71,369081,16/17,"Jul22,2016",Peñarol,RMCastilla,€450k,€5.00m
72,640428,21/22,"Aug31,2021",Rennes,RealMadrid,€55.00m,€31.00m
73,640428,18/19,"Jan1,2019",RennesB,Rennes,-,-
74,640428,18/19,"Jul1,2018",RennesJugend,RennesB,-,-
75,319745,20/21,"Jun30,2021",Arsenal,RealMadrid,€27.00m,Endofloan
76,319745,19/20,"Jul25,2019",RealMadrid,Arsenal,€30.00m,loantransfer
77,319745,17/18,"Jul14,2017",RealBetis,RealMadrid,€10.00m,€16.50m
78,319745,15/16,"Jul1,2015",BetisB,RealBetis,€2.50m,-
79,371998,18/19,"Jul12,2018",Flamengo,RealMadrid,€35.00m,€45.00m
80,371998,16/17,"May8,2017",FlamengoU20,Flamengo,-,-
81,50202,19/20,"Jul1,2019",Chelsea,RealMadrid,€150.00m,€115.00m
82,412363,19/20,"Jul1,2019",Santos,RealMadrid,€40.00m,€45.00m
83,412363,17/18,"Jul21,2017",SantosFCU20,Santos,-,-
84,296622,15/16,"Jun30,2016",Espanyol,RealMadrid,€8.00m,Endofloan
85,296622,15/16,"Aug20,2015",RealMadrid,Espanyol,€3.50m,loantransfer
86,296622,15/16,"Jul1,2015",RCDMallorca,RealMadrid,€3.50m,€3.90m
87,39381,20/21,"Jun30,2021",Tottenham,RealMadrid,€18.00m,Endofloan
88,39381,20/21,"Sep19,2020",RealMadrid,Tottenham,€28.00m,loantransfer
89,710004,20/21,"Oct1,2020",RealMadridU19,RMCastilla,-,-
90,710004,20/21,"Jul1,2020",RealMadridU18,RealMadridU19,-,-
91,710004,19/20,"Jul1,2019",RealMadridU17,RealMadridU18,-,-
92,710004,18/19,"Jul1,2018",R.MadridYth.,RealMadridU17,-,-
93,257462,20/21,"Jun30,2021",E.Frankfurt,RealMadrid,€20.00m,Endofloan
94,257462,20/21,"Jan14,2021",RealMadrid,E.Frankfurt,€20.00m,Loanfee:€1.00m
95,257462,19/20,"Jul2,2019",E.Frankfurt,RealMadrid,€60.00m,€63.00m
96,257462,19/20,"Jul1,2019",Benfica,E.Frankfurt,€60.00m,€22.34m
97,257462,18/19,"Jun30,2019",E.Frankfurt,Benfica,€60.00m,Endofloan
98,257462,17/18,"Jul1,2017",Benfica,E.Frankfurt,€2.00m,Loanfee:€200k
99,257462,15/16,"Jan31,2016",Apol.Limassol,Benfica,€1.75m,€6.60m
100,257462,15/16,"Jan25,2016",RedStar,Apol.Limassol,€1.75m,€2.00m
101,225020,18/19,"Aug29,2018",OlympiqueLyon,RealMadrid,€22.00m,€21.50m
102,225020,17/18,"Jul1,2017",RealMadrid,OlympiqueLyon,€5.00m,€8.00m
103,225020,16/17,"Jul1,2016",RMCastilla,RealMadrid,-,-
104,623521,20/21,"Jul1,2020",RealMadridU19,RMCastilla,€100k,-
105,623521,19/20,"Jul1,2019",RealMadridU18,RealMadridU19,-,-
106,623521,18/19,"Jul1,2018",RealMadridU17,RealMadridU18,-,-
107,623521,17/18,"Jul1,2017",R.MadridYth.,RealMadridU17,-,-
108,623521,16/17,"Jul1,2016",U.AdarveYth.,R.MadridYth.,-,?
109,283170,21/22,"Jun30,2022",Galatasaray,Barcelona,€4.20m,Endofloan
110,283170,21/22,"Jan31,2022",Barcelona,Galatasaray,€3.00m,loantransfer
111,283170,21/22,"Jan30,2022",BarcelonaB,Barcelona,€3.00m,-
112,283170,18/19,"Jul1,2018",BarçaU19,BarcelonaB,-,-
113,283170,15/16,"Jul1,2015",BarçaU18,BarçaU19,-,-
114,111819,19/20,"Jul1,2019",Valencia,Barcelona,€18.00m,€26.00m
115,111819,17/18,"Jul7,2017",Juventus,Valencia,€6.00m,€7.00m
116,111819,15/16,"Jul3,2015",Fiorentina,Juventus,€9.00m,freetransfer
117,466783,20/21,"Jul1,2020",BarçaU19,BarcelonaB,-,-
118,466783,18/19,"Jul1,2018",BarçaU18,BarçaU19,-,-
119,466783,17/18,"Jul1,2017",BarçaU16,BarçaU18,-,-
120,466783,16/17,"Jul1,2016",BarçaYouth,BarçaU16,-,-
121,344457,18/19,"Jul1,2018",BarçaU19,BarcelonaB,-,-
122,344457,17/18,"Jul1,2017",OFKGrbalj,BarçaU19,€250k,?
123,480267,20/21,"Oct5,2020",BarcelonaB,Barcelona,€10.00m,-
124,480267,18/19,"Aug29,2018",BostonRiver,BarcelonaB,€175k,€4.70m
125,480267,17/18,"Jul28,2017",Rentistas,BostonRiver,€100k,€395k
126,480267,16/17,"Jul1,2016",RentistasU19,Rentistas,-,-
127,466794,21/22,"Jul1,2021",ManCity,Barcelona,€20.00m,freetransfer
128,466794,19/20,"Jul1,2019",ManCityU23,ManCity,-,-
129,466794,18/19,"Jul1,2018",ManCityU18,ManCityU23,-,-
130,466794,17/18,"Jul1,2017",BarçaU16,ManCityU18,-,€1.70m
