,player_id,season,Age,Competition,Club,club_id,position_group,New_season,Squad,Appearances,club_clean_sheet,player_clean_sheet,Goals conceded,PPG,Assists,Penalty goals,market_value
0,2857,2017,32,Premier League,Leicester City,1003,Goalkeeper,False,10,2,8,0,6,1.5,0,0,1000000.0
3,16911,2021,34,Premier League,Leicester City,1003,Goalkeeper,False,38,37,7,7,58,1.32,0,0,4000000.0
9,14044,2019,35,Premier League,Liverpool FC,31,Goalkeeper,False,2,0,17,0,0,0.0,0,0,250000.0
15,340918,2020,21,Premier League,Liverpool FC,31,Goalkeeper,False,15,2,12,1,1,1.5,0,0,2500000.0
17,71271,2021,34,Premier League,Liverpool FC,31,Goalkeeper,False,5,0,21,0,0,0.0,0,0,1000000.0
19,340918,2021,22,Premier League,Liverpool FC,31,Goalkeeper,False,36,2,21,1,2,2.0,0,0,8000000.0
21,30690,2017,30,Premier League,Manchester United,985,Goalkeeper,False,30,1,19,1,0,3.0,0,0,5000000.0
24,33873,2019,32,Serie A,AC Milan,5,Goalkeeper,True,19,2,13,0,3,0.5,0,0,2400000.0
26,55282,2020,34,Serie A,AC Milan,5,Goalkeeper,False,38,1,14,0,3,1.0,0,0,600000.0
28,592924,2020,18,Serie A,AC Milan,5,Goalkeeper,False,2,0,14,0,0,0.0,0,0,150000.0
29,22141,2021,37,Serie A,AC Milan,5,Goalkeeper,True,29,0,18,0,0,0.0,0,0,300000.0
32,357991,2021,21,Serie A,AC Milan,5,Goalkeeper,False,2,0,18,0,0,0.0,0,0,800000.0
34,592924,2021,19,Serie A,AC Milan,5,Goalkeeper,False,8,0,18,0,0,0.0,0,0,150000.0
38,448632,2021,21,Ligue 1,Stade Reims,1421,Goalkeeper,False,31,0,11,0,0,0.0,0,0,500000.0
39,6442,2018,35,Serie A,Torino FC,416,Goalkeeper,False,36,0,15,0,0,0.0,0,0,200000.0
44,42744,2019,30,Serie A,Torino FC,416,Goalkeeper,False,35,1,7,0,3,0.0,0,0,200000.0
45,463792,2019,18,Serie A,Torino FC,416,Goalkeeper,False,2,0,7,0,0,0.0,0,0,75000.0
46,6442,2020,37,Serie A,Torino FC,416,Goalkeeper,False,20,0,8,0,0,0.0,0,0,100000.0
47,6442,2020,37,Serie A,Torino FC,416,Goalkeeper,False,20,0,8,0,0,0.0,0,0,100000.0
50,257474,2020,23,Serie A,Torino FC,416,Goalkeeper,False,32,5,8,1,6,1.6,0,0,800000.0
51,6442,2020,37,Serie A,ACF Fiorentina,430,Goalkeeper,False,15,0,10,0,0,0.0,0,0,100000.0
52,6442,2020,37,Serie A,ACF Fiorentina,430,Goalkeeper,False,15,0,10,0,0,0.0,0,0,100000.0
53,96254,2020,30,Serie A,ACF Fiorentina,430,Goalkeeper,False,38,4,10,2,4,0.5,0,0,800000.0
55,6442,2021,38,Serie A,ACF Fiorentina,430,Goalkeeper,True,28,0,12,0,0,0.0,0,0,100000.0
56,96254,2021,31,Serie A,ACF Fiorentina,430,Goalkeeper,False,37,32,12,9,43,1.66,0,0,1500000.0
63,323255,2018,19,Serie A,US Sassuolo,6574,Goalkeeper,True,17,0,13,0,0,0.0,0,0,150000.0
64,21872,2019,38,Serie A,US Sassuolo,6574,Goalkeeper,False,32,5,7,2,4,1.6,0,0,150000.0
66,21872,2020,39,Serie A,US Sassuolo,6574,Goalkeeper,False,35,1,8,1,0,1.0,0,0,100000.0
71,323255,2021,22,Serie A,US Sassuolo,6574,Goalkeeper,False,29,1,4,1,0,0.0,0,0,200000.0
72,502475,2021,18,Serie A,US Sassuolo,6574,Goalkeeper,False,4,0,4,0,0,0.0,0,0,100000.0
74,31653,2017,29,Bundesliga,Borussia Mönchengladbach,18,Goalkeeper,False,34,5,8,1,10,0.6,0,0,750000.0
76,31653,2018,30,Bundesliga,Borussia Mönchengladbach,18,Goalkeeper,False,34,0,13,0,0,0.0,0,0,750000.0
