,player_id,season,Age,Competition,Club,club_id,position_group,New_season,Squad,Appearances,club_clean_sheet,player_clean_sheet,Goals conceded,PPG,Goals,Own goals,Assists,Penalty goals,Yellow cards,Second yellow cards,Red cards,Substitutions on,Substitutions off,Minutes played,Minutes per goal,market_value
0,177907,2017,24,Premier League,Leicester City,1003,Defender,False,38,38,8,0,0,1.24,2,0,3,0,7,0,0,0,0,3420,1710,25000000.0
1,214056,2017,22,Premier League,Leicester City,1003,Defender,False,19,8,8,0,0,1.13,0,0,0,0,0,1,0,2,2,490,0,5000000.0
2,316125,2017,20,Premier League,Leicester City,1003,Defender,False,32,24,8,0,0,1.33,0,0,2,0,1,1,0,4,3,1852,0,8000000.0
5,42412,2021,33,Premier League,Leicester City,1003,Defender,False,20,18,7,0,0,1.61,1,0,1,0,3,0,0,2,4,1350,1350,4000000.0
6,99331,2021,28,Premier League,Leicester City,1003,Defender,True,25,10,7,0,0,1.2,0,0,0,0,2,0,0,4,1,563,0,13000000.0
8,215876,2021,27,Premier League,Leicester City,1003,Defender,False,24,14,7,0,0,1.57,1,0,3,0,3,0,0,1,4,992,992,20000000.0
9,262226,2021,25,Premier League,Leicester City,1003,Defender,False,29,27,7,0,0,1.52,1,0,0,0,1,0,0,5,2,2124,2124,28000000.0
12,475411,2021,20,Premier League,Leicester City,1003,Defender,False,9,7,7,0,0,1.43,0,0,0,0,2,0,0,0,0,630,0,40000000.0
13,505194,2021,20,Premier League,Leicester City,1003,Defender,False,27,22,7,0,0,1.27,0,0,1,0,2,0,0,1,1,1912,0,12000000.0
16,82105,2017,25,Premier League,Liverpool FC,31,Defender,False,26,25,10,0,0,2.16,1,0,0,0,3,0,0,3,0,1994,1994,25000000.0
17,85177,2017,26,Premier League,Liverpool FC,31,Defender,False,5,3,10,0,0,0.67,0,0,0,0,1,0,0,1,1,174,0,20000000.0
18,139208,2017,25,Premier League,Liverpool FC,31,Defender,True,15,14,10,0,0,1.79,0,0,0,0,1,0,0,0,0,1260,0,50000000.0
19,207917,2017,24,Premier League,Liverpool FC,31,Defender,False,25,16,10,0,0,1.69,0,0,0,0,1,0,0,2,0,1264,0,10000000.0
24,85177,2018,27,Premier League,Liverpool FC,31,Defender,False,6,4,21,0,0,3.0,0,0,0,0,0,0,0,3,0,108,0,12000000.0
26,207917,2018,25,Premier League,Liverpool FC,31,Defender,False,18,2,21,0,0,3.0,0,0,0,0,0,0,0,0,1,156,0,9000000.0
28,256178,2018,21,Premier League,Liverpool FC,31,Defender,False,18,16,21,0,0,2.63,0,0,0,0,2,0,0,4,1,1060,0,35000000.0
32,234803,2019,25,Premier League,Liverpool FC,31,Defender,False,36,36,17,0,0,2.64,2,0,12,0,2,0,0,2,4,3113,1557,64000000.0
33,256178,2019,22,Premier League,Liverpool FC,31,Defender,False,37,28,17,0,0,2.64,0,0,0,0,7,0,0,6,1,1998,0,33500000.0
35,371814,2019,22,Premier League,Liverpool FC,31,Defender,False,2,0,17,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,800000.0
39,139208,2020,28,Premier League,Liverpool FC,31,Defender,False,5,5,12,0,0,2.0,1,0,0,0,1,0,0,0,1,371,371,55000000.0
42,257097,2020,24,Premier League,Liverpool FC,31,Defender,False,4,0,12,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3000000.0
44,338070,2020,24,Premier League,Liverpool FC,31,Defender,False,22,2,12,0,0,1.5,0,0,0,0,0,0,0,2,0,5,0,8000000.0
45,361260,2020,20,Premier League,Liverpool FC,31,Defender,False,10,9,12,0,0,1.56,0,0,0,0,3,0,0,0,2,803,0,25000000.0
46,361260,2020,20,Premier League,Liverpool FC,31,Defender,False,10,9,12,0,0,1.56,0,0,0,0,3,0,0,0,2,803,0,25000000.0
47,371814,2020,23,Premier League,Liverpool FC,31,Defender,False,30,17,12,0,0,2.24,1,0,1,0,2,0,0,2,0,1454,1454,8000000.0
49,503680,2020,19,Premier League,Liverpool FC,31,Defender,False,31,6,12,0,0,1.83,0,0,0,0,1,0,0,3,3,248,0,8000000.0
50,696324,2020,17,Premier League,Liverpool FC,31,Defender,False,3,0,12,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,500000.0
52,139208,2021,29,Premier League,Liverpool FC,31,Defender,False,35,34,21,0,0,2.41,3,0,4,0,3,0,0,0,0,3060,1020,55000000.0
53,234803,2021,27,Premier League,Liverpool FC,31,Defender,False,33,29,21,0,0,2.41,3,0,10,0,5,0,1,0,3,2541,847,65000000.0
54,256178,2021,24,Premier League,Liverpool FC,31,Defender,False,29,8,21,0,0,2.5,0,0,1,0,2,0,0,4,1,327,0,18000000.0
55,314353,2021,22,Premier League,Liverpool FC,31,Defender,False,34,32,21,0,0,2.38,2,0,12,0,2,0,0,0,2,2854,1427,80000000.0
58,371814,2021,24,Premier League,Liverpool FC,31,Defender,False,4,0,21,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8000000.0
59,503679,2021,20,Premier League,Liverpool FC,31,Defender,False,1,0,21,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4000000.0
61,551001,2021,18,Premier League,Liverpool FC,31,Defender,False,3,0,21,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,400000.0
62,624258,2021,17,Premier League,Liverpool FC,31,Defender,False,1,0,21,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1000000.0
65,54906,2017,27,Premier League,Manchester United,985,Defender,False,17,8,19,0,0,2.13,0,0,0,0,0,0,0,3,1,442,0,10000000.0
68,183288,2017,21,Premier League,Manchester United,985,Defender,False,21,11,19,0,0,2.18,0,0,0,0,2,0,0,3,1,788,0,15000000.0
69,184573,2017,22,Premier League,Manchester United,985,Defender,False,26,17,19,0,0,2.0,0,0,0,0,1,0,0,4,0,1281,0,25000000.0
71,342046,2017,19,Premier League,Manchester United,985,Defender,False,4,1,19,0,0,3.0,0,0,0,0,0,0,0,1,0,0,0,1000000.0
72,48859,2019,30,Serie A,AC Milan,5,Defender,False,16,15,13,0,0,2.53,0,0,0,0,2,0,0,0,3,1243,0,5200000.0
73,86784,2019,26,Serie A,AC Milan,5,Defender,False,15,5,13,0,0,1.2,0,0,0,0,0,0,0,0,2,387,0,5500000.0
75,197470,2019,25,Serie A,AC Milan,5,Defender,False,6,0,13,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,11000000.0
76,197747,2019,24,Serie A,AC Milan,5,Defender,False,35,35,13,0,0,1.69,1,0,0,0,4,0,0,0,1,3092,3092,36000000.0
77,262523,2019,22,Serie A,AC Milan,5,Defender,False,34,25,13,0,0,1.76,1,0,1,0,2,1,1,9,4,1619,1619,9500000.0
78,323167,2019,19,Serie A,AC Milan,5,Defender,False,37,9,13,0,0,2.0,0,0,0,0,1,0,0,3,1,678,0,2700000.0
80,48859,2020,31,Serie A,AC Milan,5,Defender,False,31,28,14,0,0,2.0,0,0,2,0,3,0,0,0,6,2397,0,10000000.0
81,111227,2020,26,Serie A,AC Milan,5,Defender,False,15,3,14,0,0,2.0,0,0,0,0,0,0,0,3,0,25,0,4500000.0
84,303254,2020,22,Serie A,AC Milan,5,Defender,True,20,17,14,0,0,2.06,1,0,0,0,0,0,0,1,0,1465,1465,28000000.0
85,303254,2020,22,Serie A,AC Milan,5,Defender,True,20,17,14,0,0,2.06,1,0,0,0,0,0,0,1,0,1465,1465,28000000.0
88,357147,2020,21,Serie A,AC Milan,5,Defender,True,35,21,14,0,0,2.1,1,0,1,0,4,0,0,11,1,1078,1078,10000000.0
89,357147,2020,21,Serie A,AC Milan,5,Defender,True,35,21,14,0,0,2.1,1,0,1,0,4,0,0,11,1,1078,1078,10000000.0
90,585949,2020,20,Serie A,AC Milan,5,Defender,True,36,13,14,0,0,1.69,1,0,0,0,1,0,0,6,4,725,725,7000000.0
91,621123,2020,18,Serie A,AC Milan,5,Defender,False,1,0,14,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,150000.0
93,111227,2021,27,Serie A,AC Milan,5,Defender,False,14,1,18,0,0,3.0,0,0,0,0,0,0,0,1,0,12,0,2500000.0
94,111227,2021,27,Serie A,AC Milan,5,Defender,False,14,1,18,0,0,3.0,0,0,0,0,0,0,0,1,0,12,0,2500000.0
96,197747,2021,26,Serie A,AC Milan,5,Defender,False,29,19,18,0,0,2.16,1,0,0,0,4,0,1,3,1,1407,1407,17000000.0
97,262523,2021,24,Serie A,AC Milan,5,Defender,False,27,26,18,0,0,2.42,2,0,3,0,2,0,0,2,7,2124,1062,25000000.0
99,303254,2021,23,Serie A,AC Milan,5,Defender,False,32,31,18,0,0,2.45,0,0,0,0,4,0,0,1,2,2719,0,50000000.0
100,323167,2021,21,Serie A,AC Milan,5,Defender,False,36,8,18,0,0,2.0,0,0,0,0,3,0,0,2,3,537,0,6000000.0
101,339808,2021,23,Serie A,AC Milan,5,Defender,False,32,32,18,0,0,2.28,5,0,6,1,5,1,1,2,2,2713,543,55000000.0
104,199704,2021,33,Ligue 1,Stade Reims,1421,Defender,False,34,34,11,0,0,1.12,2,0,0,0,5,0,1,0,0,2984,1492,1200000.0
106,292808,2021,23,Ligue 1,Stade Reims,1421,Defender,False,37,37,11,0,0,1.22,4,0,0,0,2,0,0,0,0,3330,833,10000000.0
109,502511,2021,20,Ligue 1,Stade Reims,1421,Defender,False,2,0,11,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,200000.0
110,570817,2021,21,Ligue 1,Stade Reims,1421,Defender,False,19,18,11,0,0,1.28,1,0,0,0,3,0,0,5,3,1294,1294,3500000.0
113,805908,2021,19,Ligue 1,Stade Reims,1421,Defender,False,36,24,11,0,0,1.29,1,0,1,0,4,0,0,13,8,1002,1002,2000000.0
114,919173,2021,17,Ligue 1,Stade Reims,1421,Defender,False,2,1,11,0,0,1.0,0,0,0,0,0,0,0,1,0,3,0,200000.0
115,32113,2018,26,Serie A,Torino FC,416,Defender,False,37,37,15,0,0,1.7,4,0,1,0,6,0,0,0,3,3274,819,20000000.0
119,183031,2018,25,Serie A,Torino FC,416,Defender,True,29,17,15,0,0,1.35,0,0,0,0,2,0,0,1,2,1389,0,5000000.0
120,183031,2018,25,Serie A,Torino FC,416,Defender,True,29,17,15,0,0,1.35,0,0,0,0,2,0,0,1,2,1389,0,5000000.0
121,236490,2018,21,Serie A,Torino FC,416,Defender,True,32,30,15,0,0,1.63,1,0,3,0,5,0,1,8,6,2158,2158,10000000.0
