,player_id,season,Age,Competition,Club,club_id,position_group,New_season,Squad,Appearances,club_clean_sheet,player_clean_sheet,Goals conceded,PPG,Goals,Own goals,Assists,Penalty goals,Yellow cards,Second yellow cards,Red cards,Substitutions on,Substitutions off,Minutes played,Minutes per goal,market_value
0,2857,2017,32,Premier League,Leicester City,1003,2,False,10,2,8,0,6,1.5,0,0,0,0,0,0,0,0,0,180,0,1000000.0
3,61560,2017,27,Premier League,Leicester City,1003,3,False,35,34,8,0,0,1.29,2,0,7,0,5,0,1,4,10,2543,1272,10000000.0
4,65467,2017,29,Premier League,Leicester City,1003,3,False,29,19,8,0,0,1.42,3,0,0,0,0,0,0,2,7,1414,471,10000000.0
6,174915,2017,29,Premier League,Leicester City,1003,0,False,19,12,8,0,0,1.0,1,0,1,0,0,0,0,10,1,239,239,18000000.0
7,177907,2017,24,Premier League,Leicester City,1003,1,False,38,38,8,0,0,1.24,2,0,3,0,7,0,0,0,0,3420,1710,25000000.0
8,197838,2017,30,Premier League,Leicester City,1003,0,False,37,37,8,0,0,1.19,20,0,1,5,3,0,0,0,11,3258,163,20000000.0
9,214056,2017,22,Premier League,Leicester City,1003,1,False,19,8,8,0,0,1.13,0,0,0,0,0,1,0,2,2,490,0,5000000.0
12,295330,2017,20,Premier League,Leicester City,1003,0,True,32,21,8,0,0,0.81,3,0,3,0,2,0,0,14,7,822,274,15000000.0
13,316125,2017,20,Premier League,Leicester City,1003,1,False,32,24,8,0,0,1.33,0,0,2,0,1,1,0,4,3,1852,0,8000000.0
14,341501,2017,19,Premier League,Leicester City,1003,3,False,8,8,8,0,0,0.88,0,0,1,0,1,0,0,4,2,375,0,1000000.0
16,398065,2017,19,Premier League,Leicester City,1003,0,False,6,3,8,0,0,1.33,0,0,0,0,0,0,0,3,0,7,0,250000.0
18,16911,2021,34,Premier League,Leicester City,1003,2,False,38,37,7,7,58,1.32,0,0,0,0,1,0,0,0,0,3330,0,4000000.0
20,42412,2021,33,Premier League,Leicester City,1003,1,False,20,18,7,0,0,1.61,1,0,1,0,3,0,0,2,4,1350,1350,4000000.0
22,99331,2021,28,Premier League,Leicester City,1003,1,True,25,10,7,0,0,1.2,0,0,0,0,2,0,0,4,1,563,0,13000000.0
24,129588,2021,27,Premier League,Leicester City,1003,3,False,3,0,7,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13000000.0
25,197838,2021,34,Premier League,Leicester City,1003,0,False,27,25,7,0,0,1.56,15,1,2,0,2,0,0,5,5,1805,120,5000000.0
28,215876,2021,27,Premier League,Leicester City,1003,1,False,24,14,7,0,0,1.57,1,0,3,0,3,0,0,1,4,992,992,20000000.0
29,246968,2021,27,Premier League,Leicester City,1003,0,False,32,14,7,0,0,1.14,2,0,3,0,0,0,1,8,5,441,221,10000000.0
30,249565,2021,24,Premier League,Leicester City,1003,3,False,33,32,7,0,0,1.47,6,0,4,2,3,0,0,3,5,2634,439,55000000.0
31,262226,2021,25,Premier League,Leicester City,1003,1,False,29,27,7,0,0,1.52,1,0,0,0,1,0,0,5,2,2124,2124,28000000.0
32,274839,2021,24,Premier League,Leicester City,1003,3,False,21,19,7,0,0,1.32,0,0,0,0,4,0,0,1,2,1619,0,60000000.0
33,294057,2021,24,Premier League,Leicester City,1003,3,False,35,35,7,0,0,1.4,12,0,8,0,3,0,0,7,14,2466,206,50000000.0
34,295330,2021,24,Premier League,Leicester City,1003,0,False,35,26,7,0,0,1.12,4,0,5,0,1,0,0,13,9,1259,315,20000000.0
36,341501,2021,23,Premier League,Leicester City,1003,3,False,31,6,7,0,0,1.33,0,0,0,0,1,0,0,2,3,286,0,4000000.0
38,365172,2021,22,Premier League,Leicester City,1003,0,False,36,23,7,0,0,1.17,5,0,3,0,2,0,0,10,11,1159,232,20000000.0
42,475188,2021,22,Premier League,Leicester City,1003,3,False,36,28,7,0,0,1.46,1,0,2,0,4,0,0,5,4,2104,2104,8000000.0
43,475411,2021,20,Premier League,Leicester City,1003,1,False,9,7,7,0,0,1.43,0,0,0,0,2,0,0,0,0,630,0,40000000.0
44,505194,2021,20,Premier League,Leicester City,1003,1,False,27,22,7,0,0,1.27,0,0,1,0,2,0,0,1,1,1912,0,12000000.0
49,3333,2017,31,Premier League,Liverpool FC,31,3,False,37,32,10,0,0,2.06,0,0,3,0,3,0,0,16,3,1763,0,15000000.0
50,43530,2017,29,Premier League,Liverpool FC,31,3,False,14,12,10,0,0,2.33,0,0,0,0,1,0,0,11,2,236,0,25000000.0
51,49499,2017,26,Premier League,Liverpool FC,31,3,False,35,33,10,0,0,2.03,1,0,2,0,1,0,0,6,6,2387,2387,30000000.0
53,80444,2017,25,Premier League,Liverpool FC,31,0,False,15,14,10,0,0,1.79,7,0,6,0,0,0,0,1,8,1117,160,100000000.0
54,80444,2017,25,Premier League,Liverpool FC,31,0,False,15,14,10,0,0,1.79,7,0,6,0,0,0,0,1,8,1117,160,100000000.0
55,82105,2017,25,Premier League,Liverpool FC,31,1,False,26,25,10,0,0,2.16,1,0,0,0,3,0,0,3,0,1994,1994,25000000.0
56,85177,2017,26,Premier League,Liverpool FC,31,1,False,5,3,10,0,0,0.67,0,0,0,0,1,0,0,1,1,174,0,20000000.0
60,134294,2017,24,Premier League,Liverpool FC,31,0,False,17,8,10,0,0,1.63,1,0,0,0,0,0,0,5,3,265,265,8000000.0
61,139208,2017,25,Premier League,Liverpool FC,31,1,True,15,14,10,0,0,1.79,0,0,0,0,1,0,0,0,0,1260,0,50000000.0
63,148368,2017,22,Premier League,Liverpool FC,31,0,False,2,1,10,0,0,1.0,0,0,0,0,0,0,0,1,0,9,0,10000000.0
64,148455,2017,25,Premier League,Liverpool FC,31,0,True,36,36,10,0,0,1.97,32,0,11,1,1,0,0,2,17,2920,91,150000000.0
67,207917,2017,24,Premier League,Liverpool FC,31,1,False,25,16,10,0,0,1.69,0,0,0,0,1,0,0,2,0,1264,0,10000000.0
74,43530,2018,30,Premier League,Liverpool FC,31,3,False,24,13,21,0,0,2.54,0,0,0,0,1,0,0,8,5,464,0,15000000.0
75,49499,2018,27,Premier League,Liverpool FC,31,3,False,35,35,21,0,0,2.57,3,0,0,0,3,0,0,3,13,2735,912,50000000.0
78,85177,2018,27,Premier League,Liverpool FC,31,1,False,6,4,21,0,0,3.0,0,0,0,0,0,0,0,3,0,108,0,12000000.0
82,131789,2018,26,Premier League,Liverpool FC,31,0,False,34,34,21,0,0,2.5,12,0,7,1,0,0,0,3,16,2620,218,80000000.0
84,143424,2018,24,Premier League,Liverpool FC,31,3,False,3,2,21,0,0,3.0,0,0,0,0,0,0,0,2,0,19,0,35000000.0
86,148455,2018,26,Premier League,Liverpool FC,31,0,False,38,38,21,0,0,2.55,22,0,10,3,1,0,0,1,13,3261,148,150000000.0
88,207917,2018,25,Premier League,Liverpool FC,31,1,False,18,2,21,0,0,3.0,0,0,0,0,0,0,0,0,1,156,0,9000000.0
91,256178,2018,21,Premier League,Liverpool FC,31,1,False,18,16,21,0,0,2.63,0,0,0,0,2,0,0,4,1,1060,0,35000000.0
95,3333,2019,33,Premier League,Liverpool FC,31,3,False,27,22,17,0,0,2.91,2,0,2,2,4,0,0,13,2,926,463,6500000.0
96,14044,2019,35,Premier League,Liverpool FC,31,2,False,2,0,17,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,250000.0
98,49499,2019,28,Premier League,Liverpool FC,31,3,False,37,37,17,0,0,2.59,4,0,0,0,0,0,0,2,15,2948,737,40000000.0
99,61651,2019,29,Premier League,Liverpool FC,31,3,False,31,30,17,0,0,2.77,4,0,5,0,2,0,0,4,10,2244,561,28000000.0
102,86792,2019,27,Premier League,Liverpool FC,31,3,False,17,7,17,0,0,2.57,1,0,0,0,0,0,0,5,1,181,181,16000000.0
104,131789,2019,27,Premier League,Liverpool FC,31,0,False,38,38,17,0,0,2.61,9,0,8,0,0,0,0,4,20,3004,334,72000000.0
108,148455,2019,27,Premier League,Liverpool FC,31,0,False,37,34,17,0,0,2.68,19,0,10,3,1,0,0,1,13,2888,152,120000000.0
109,165793,2019,24,Premier League,Liverpool FC,31,0,False,17,10,17,0,0,1.9,0,0,0,0,0,0,0,8,2,242,0,10000000.0
112,234803,2019,25,Premier League,Liverpool FC,31,1,False,36,36,17,0,0,2.64,2,0,12,0,2,0,0,2,4,3113,1557,64000000.0
113,256178,2019,22,Premier League,Liverpool FC,31,1,False,37,28,17,0,0,2.64,0,0,0,0,7,0,0,6,1,1998,0,33500000.0
117,371814,2019,22,Premier League,Liverpool FC,31,1,False,2,0,17,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,800000.0
122,3333,2020,34,Premier League,Liverpool FC,31,3,False,30,26,12,0,0,1.73,0,0,1,0,3,0,0,15,5,1060,0,3000000.0
124,60444,2020,29,Premier League,Liverpool FC,31,3,True,25,24,12,0,0,1.71,1,0,0,0,4,0,0,4,7,1857,1857,30000000.0
125,61651,2020,30,Premier League,Liverpool FC,31,3,False,23,21,12,0,0,1.62,1,0,1,0,0,0,0,1,4,1706,1706,20000000.0
131,139208,2020,28,Premier League,Liverpool FC,31,1,False,5,5,12,0,0,2.0,1,0,0,0,1,0,0,0,1,371,371,55000000.0
