,Club Name,League name,Average age of players,Stadium name,Coach name,Coach Date,Club Values
0,Bayern Munich,Bundesliga,26.5,Allianz Arena,Niko Kovac,"Jul 1, 2018",€979.70m
1,Borussia Dortmund,Bundesliga,24.6,SIGNAL IDUNA PARK,Lucien Favre,"Jul 1, 2018",€547.70m
2,RB Leipzig,Bundesliga,25.6,Red Bull Arena,Julian Nagelsmann,"Jul 1, 2019",€487.30m
3,Bayer 04 Leverkusen,Bundesliga,24.9,BayArena,Peter Bosz,"Dec 23, 2018",€421.85m
4,Borussia Mönchengladbach,Bundesliga,26.0,Stadion im Borussia-Park,Marco Rose,"Jul 1, 2019",€223.00m
5,TSG 1899 Hoffenheim,Bundesliga,25.9,PreZero Arena,Alfred Schreuder,"Jul 1, 2019",€154.65m
6,FC Schalke 04,Bundesliga,27.3,Veltins-Arena,David Wagner,"Jul 1, 2019",€60.40m
7,Hertha BSC,Bundesliga,26.1,Olympiastadion Berlin,Ante Covic,"Jul 1, 2019",€92.35m
8,Eintracht Frankfurt,Bundesliga,25.1,Deutsche Bank Park,Adi Hütter,"Jul 1, 2018",€294.45m
9,VfL Wolfsburg,Bundesliga,24.6,Volkswagen Arena,Oliver Glasner,"Jul 1, 2019",€200.70m
10,SV Werder Bremen,Bundesliga,25.3,Wohninvest-Weserstadion,Florian Kohfeldt,"Nov 10, 2017",€80.55m
11,SC Freiburg,Bundesliga,26.2,Europa-Park Stadion,Christian Streich,"Jan 1, 2012",€161.90m
12,1.FSV Mainz 05,Bundesliga,25.1,Mewa Arena,Sandro Schwarz,"Jul 1, 2017",€113.70m
13,FC Augsburg,Bundesliga,25.3,WWK ARENA,Martin Schmidt,"Apr 9, 2019",€117.15m
14,1.FC Köln,Bundesliga,24.7,RheinEnergieSTADION,Achim Beierlorzer,"Jul 1, 2019",€101.93m
15,Fortuna Düsseldorf,2. Bundesliga,25.9,MERKUR SPIEL-ARENA,Friedhelm Funkel,"Mar 14, 2016",€27.75m
16,1.FC Union Berlin,Bundesliga,27.6,Stadion An der Alten Försterei,Urs Fischer,"Jul 1, 2018",€126.10m
17,SC Paderborn 07,2. Bundesliga,25.7,Home Deluxe Arena,Steffen Baumgart,"Apr 16, 2017",€19.23m
