player_name,signed_from,discription
Asmir Begovic,Stoke City,none
Patrick Bamford,Nottingham Forest,none
Jamal Blackman,Chelsea FC U21,none
Patrick Bamford,Nottingham Forest,none
Gary Cahill,Bolton Wanderers,none
Patrick Bamford,Nottingham Forest,none
Papy Djilobodji,FC Nantes,none
Patrick Bamford,Nottingham Forest,none
Tomas Kalas,SK Sigma Olomouc,none
Patrick Bamford,Nottingham Forest,none
Matt Miazga,New York Red Bulls,"Returned after loan spell with Deportivo Alavés; date: Jun 30, 2022; fee: End of loan"
Patrick Bamford,Nottingham Forest,none
Jake Clarke-Salter,Chelsea FC U23,none
Patrick Bamford,Nottingham Forest,none
César Azpilicueta,Olympique Marseille,none
Patrick Bamford,Nottingham Forest,none
Ola Aina,Chelsea FC U23,none
Patrick Bamford,Nottingham Forest,none
Mikel John Obi,Lyn 1896 FK,none
Patrick Bamford,Nottingham Forest,none
Ramires,SL Benfica,none
Patrick Bamford,Nottingham Forest,none
Charlie Colkett,none,none
Patrick Bamford,Nottingham Forest,none
Victor Moses,Wigan Athletic,none
Patrick Bamford,Nottingham Forest,none
Lucas Piazon,São Paulo Futebol Clube,none
Patrick Bamford,Nottingham Forest,none
Eden Hazard,LOSC Lille,none
Patrick Bamford,Nottingham Forest,none
Kenedy,Fluminense Football Club,none
Patrick Bamford,Nottingham Forest,none
Bertrand Traoré,Chelsea FC U21,none
Patrick Bamford,Nottingham Forest,none
Radamel Falcao,AS Monaco,Dead Leg - Return unknown
Patrick Bamford,Nottingham Forest,none
Loïc Rémy,Queens Park Rangers,none
Patrick Bamford,Nottingham Forest,none
Tammy Abraham,Chelsea FC U23,none
Patrick Bamford,Nottingham Forest,none
Joe Hart,Shrewsbury Town,none
Kelechi Iheanacho,Manchester City U18,none
Richard Wright,Preston North End,none
Kelechi Iheanacho,Manchester City U18,none
Vincent Kompany,Hamburger SV,none
Kelechi Iheanacho,Manchester City U18,none
Jason Denayer,Manchester City U18,none
Kelechi Iheanacho,Manchester City U18,none
Tosin Adarabioyo,none,none
Kelechi Iheanacho,Manchester City U18,none
Aleksandar Kolarov,SS Lazio,none
Kelechi Iheanacho,Manchester City U18,none
Angeliño,PSV Eindhoven,none
Kelechi Iheanacho,Manchester City U18,none
Pablo Zabaleta,RCD Espanyol Barcelona,none
Kelechi Iheanacho,Manchester City U18,none
Pablo Maffeo,Manchester City U23,none
Kelechi Iheanacho,Manchester City U18,none
Fernando,FC Porto,none
Kelechi Iheanacho,Manchester City U18,none
George Evans,none,none
Kelechi Iheanacho,Manchester City U18,none
Yaya Touré,FC Barcelona,none
Kelechi Iheanacho,Manchester City U18,none
Aleix García,Manchester City U23,none
Kelechi Iheanacho,Manchester City U18,none
David Silva,Valencia CF,none
Kelechi Iheanacho,Manchester City U18,none
Bersant Celina,Manchester City U23,none
Kelechi Iheanacho,Manchester City U18,none
Raheem Sterling,Liverpool FC,none
Kelechi Iheanacho,Manchester City U18,none
Patrick Roberts,Fulham FC,none
Kelechi Iheanacho,Manchester City U18,none
Wilfried Bony,Swansea City,none
Kelechi Iheanacho,Manchester City U18,none
David Faupala,none,none
Kelechi Iheanacho,Manchester City U18,none
David Ospina,OGC Nice,Elbow Injury - Return unknown
Chuba Akpom,Arsenal FC U21,none
Matt Macey,Arsenal FC U21,none
Chuba Akpom,Arsenal FC U21,none
Per Mertesacker,SV Werder Bremen,none
Chuba Akpom,Arsenal FC U21,none
Calum Chambers,Southampton FC,none
Chuba Akpom,Arsenal FC U21,none
Nacho Monreal,Málaga CF,none
Chuba Akpom,Arsenal FC U21,none
Héctor Bellerín,Arsenal FC U21,"Returned after loan spell with Real Betis Balompié; date: Jun 30, 2022; fee: End of loan"
Chuba Akpom,Arsenal FC U21,none
Francis Coquelin,Arsenal FC Reserves,"Cruciate Ligament Rupture - Return expected on Aug 31, 2023"
Chuba Akpom,Arsenal FC U21,none
Mathieu Flamini,AC Milan,none
Chuba Akpom,Arsenal FC U21,none
Isaac Hayden,none,none
Chuba Akpom,Arsenal FC U21,none
Glen Kamara,none,none
Chuba Akpom,Arsenal FC U21,none
Aaron Ramsey,Cardiff City,none
Chuba Akpom,Arsenal FC U21,none
Jack Wilshere,Arsenal FC U18,none
Chuba Akpom,Arsenal FC U21,none
Mikel Arteta,Everton FC,none
Chuba Akpom,Arsenal FC U21,none
Tomas Rosicky,Borussia Dortmund,none
Chuba Akpom,Arsenal FC U21,none
Jeff Reine-Adélaïde,none,none
Chuba Akpom,Arsenal FC U21,none
Chris Willock,none,none
Chuba Akpom,Arsenal FC U21,none
Joel Campbell,Deportivo Saprissa,none
Chuba Akpom,Arsenal FC U21,none
Wellington Silva,Fluminense Football Club,none
Chuba Akpom,Arsenal FC U21,none
Olivier Giroud,Montpellier HSC,none
Chuba Akpom,Arsenal FC U21,none
Yaya Sanogo,AJ Auxerre,none
Chuba Akpom,Arsenal FC U21,none
Sergio Romero,UC Sampdoria,none
James Wilson,Manchester United U18,none
Sam Johnstone,Manchester United U18,none
James Wilson,Manchester United U18,none
Dean Henderson,Manchester United U23,"Thigh Problems - Return expected on May 31, 2023"
James Wilson,Manchester United U18,none
Marcos Rojo,Sporting CP,"Fitness - Return expected on May 29, 2023"
James Wilson,Manchester United U18,none
Paddy McNair,Manchester United U21,none
James Wilson,Manchester United U18,none
Axel Tuanzebe,Manchester United U18,none
James Wilson,Manchester United U18,none
Daley Blind,Ajax Amsterdam,none
James Wilson,Manchester United U18,none
Tyler Blackett,Manchester United U21,none
James Wilson,Manchester United U18,none
Ashley Young,Aston Villa,none
James Wilson,Manchester United U18,none
Guillermo Varela,Manchester United U21,none
James Wilson,Manchester United U18,none
Timothy Fosu-Mensah,Manchester United U18,none
James Wilson,Manchester United U18,none
Morgan Schneiderlin,Southampton FC,none
James Wilson,Manchester United U18,none
Joe Riley,none,none
James Wilson,Manchester United U18,none
Marouane Fellaini,Everton FC,none
James Wilson,Manchester United U18,none
Joe Rothwell,none,none
James Wilson,Manchester United U18,none
Sean Goss,none,none
James Wilson,Manchester United U18,none
Jesse Lingard,Manchester United U21,none
James Wilson,Manchester United U18,none
Nick Powell,Crewe Alexandra,none
James Wilson,Manchester United U18,none
Adnan Januzaj,Manchester United U21,none
James Wilson,Manchester United U18,none
Anthony Martial,AS Monaco,"Returned after loan spell with Sevilla FC; date: Jun 30, 2022; fee: End of loan"
James Wilson,Manchester United U18,none
Chicharito,Deportivo Guadalajara,none
James Wilson,Manchester United U18,none
Will Keane,Manchester United U21,none
James Wilson,Manchester United U18,none
Ádám Bogdán,Bolton Wanderers,none
Divock Origi,LOSC Lille,Adductor problems - Return unknown
Lawrence Vigouroux,Tottenham Hotspur U21,none
Divock Origi,LOSC Lille,Adductor problems - Return unknown
Mamadou Sakho,Paris Saint-Germain,none
Divock Origi,LOSC Lille,Adductor problems - Return unknown
Martin Skrtel,Zenit St. Petersburg,none
