Club,id,Country,link,Season,income,expend,overall_balance,income_arrival,expend_arrival
Chelsea FC,631,England,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2015,2015,€87.49m,€96.50m ,€-9.01m ,32,37
Manchester City,281,England,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2015,2015,€67.44m,€208.47m ,€-141.03m ,23,20
Arsenal FC,11,England,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2015,2015,€2.50m,€26.50m ,€-24.00m ,11,13
Manchester United,985,England,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2015,2015,€100.67m,€156.00m ,€-55.33m ,20,22
Liverpool FC,31,England,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2015,2015,€90.55m,€126.50m ,€-35.95m ,24,23
Tottenham Hotspur,148,England,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2015,2015,€87.25m,€71.00m ,+€16.25m,21,11
Everton FC,29,England,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2015,2015,€11.00m,€48.20m ,€-37.20m ,15,14
Southampton FC,180,England,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2015,2015,€52.70m,€60.10m ,€-7.40m ,16,15
West Ham United,379,England,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2015,2015,€18.52m,€52.70m ,€-34.19m ,24,21
Newcastle United,762,England,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2015,2015,€5.63m,€107.91m ,€-102.28m ,20,24
Leicester City,1003,England,https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2015,2015,€9.45m,€49.90m ,€-40.45m ,26,21
Stoke City,512,England,https://www.transfermarkt.com/stoke-city/startseite/verein/512/saison_id/2015,2015,€23.20m,€53.65m ,€-30.45m ,14,13
Swansea City,2288,England,https://www.transfermarkt.com/swansea-city/startseite/verein/2288/saison_id/2015,2015,€16.81m,€21.81m ,€-5.01m ,23,18
Watford FC,1010,England,https://www.transfermarkt.com/fc-watford/startseite/verein/1010/saison_id/2015,2015,€9.75m,€82.80m ,€-73.05m ,27,31
Crystal Palace,873,England,https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2015,2015,€5.40m,€28.80m ,€-23.40m ,19,16
Aston Villa,405,England,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2015,2015,€64.70m,€66.55m ,€-1.85m ,27,26
Norwich City,1123,England,https://www.transfermarkt.com/norwich-city/startseite/verein/1123/saison_id/2015,2015,€21.49m,€50.50m ,€-29.01m ,25,28
West Bromwich Albion,984,England,https://www.transfermarkt.com/west-bromwich-albion/startseite/verein/984/saison_id/2015,2015,€12.92m,€42.90m ,€-29.98m ,13,11
Sunderland AFC,289,England,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2015,2015,€11.00m,€66.05m ,€-55.05m ,24,26
AFC Bournemouth,989,England,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2015,2015,€650k,€55.11m ,€-54.46m ,28,30
Chelsea FC,631,England,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2016,2016,€108.90m,€132.80m ,€-23.90m ,29,27
Manchester City,281,England,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2016,2016,€35.35m,€216.25m ,€-180.90m ,23,29
Tottenham Hotspur,148,England,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2016,2016,€52.30m,€83.50m ,€-31.20m ,8,8
Arsenal FC,11,England,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2016,2016,€10.35m,€113.00m ,€-102.65m ,12,11
Manchester United,985,England,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2016,2016,€47.25m,€185.00m ,€-137.75m ,14,9
Liverpool FC,31,England,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2016,2016,€85.38m,€79.90m ,+€5.48m,18,20
