,player_id,name,birth_date,height,current_international,main_position,foot,current_club,goals_scored,goals_assisted,goals_conceded,clean_sheets,total_appearence,agent
0,238223,Ederson,"['Aug', '17', '1993']",188,Brazil  Portugal,Goalkeeper,left,Manchester City,-,-,341,192,413,Gestifute
1,221624,Zack Steffen,"['Apr', '2', '1995']",191,United States,Goalkeeper,right,Middlesbrough FC,-,-,254,51,191,Wasserman
2,14555,Scott Carson,"['Sep', '3', '1985']",188,England,Goalkeeper,right,Manchester City,-,4,661,153,522,Wasserman
3,621997,Cieran Slicker,"['Sep', '15', '2002']",,Scotland  England,Goalkeeper,,Manchester City U21,-,1,83,18,59,Unique Sports Group
4,258004,Rúben Dias,"['May', '14', '1997']",187,Portugal,Defender Centre Back,right,Manchester City,16,13,,,337,Gestifute
5,176553,Aymeric Laporte,"['May', '27', '1994']",189,Spain  France,Defender Centre Back,left,Manchester City,22,11,,,407,
6,186590,John Stones,"['May', '28', '1994']",188,England,Defender Centre Back,right,Manchester City,17,6,,,361,Wasserman
7,177476,Nathan Aké,"['Feb', '18', '1995']",180,Netherlands  Cote d'Ivoire,Defender Centre Back,left,Manchester City,23,12,,,298,Wasserman
8,340460,Philippe Sandler,"['Feb', '10', '1997']",190,Netherlands  United States,Defender Centre Back,right,NEC Nijmegen,6,3,,,125,Team Raiola
9,581669,CJ Egan-Riley,"['Jan', '2', '2003']",183,England  Ireland,Defender Centre Back,right,Hibernian FC,1,3,,,94,
10,609883,Luke Mbete,"['Sep', '18', '2003']",185,England  DR Congo,Defender Centre Back,left,Bolton Wanderers,1,3,,,79,CAA Stellar
11,581681,Finley Burns,"['Jun', '17', '2003']",196,England,Defender Centre Back,,Manchester City U21,-,2,,,93,Unique Sports Group
12,203853,Oleksandr Zinchenko,"['Dec', '15', '1996']",175,Ukraine,Defender Left Back,left,Arsenal FC,6,33,,,226,Anatoliy Patuk
13,576121,Josh Wilson-Esbrand,"['Dec', '26', '2002']",176,England  Jamaica,Defender Left Back,left,Coventry City,2,8,,,80,ROOF
14,157495,Benjamin Mendy,"['Jul', '17', '1994']",185,France  Senegal,Defender Left Back,left,Manchester City,6,43,,,281,Sport Cover
15,182712,João Cancelo,"['May', '27', '1994']",182,Portugal,Defender Right Back,right,Bayern Munich,18,64,,,380,Gestifute
16,95424,Kyle Walker,"['May', '28', '1990']",183,England,Defender Right Back,right,Manchester City,12,49,,,562,CAA Base Ltd
17,627228,Yan Couto,"['Jun', '3', '2002']",168,Brazil  Portugal,Defender Right Back,right,Girona FC,4,11,,,95,Think Ball & Sports ...
18,357565,Rodri,"['Jun', '22', '1996']",191,Spain,midfield Defensive Midfield,right,Manchester City,23,23,,,377,Pablo Barquero
19,628451,Roméo Lavia,"['Jan', '6', '2004']",181,Belgium,midfield Defensive Midfield,right,Southampton FC,3,6,,,95,Elite Project Group ...
20,26267,Fernandinho,"['May', '4', '1985']",179,Brazil,midfield Defensive Midfield,right,Club Athletico Paranaense,83,89,,,721,Branchini Associati ...
21,395239,Claudio Gomes,"['Jul', '23', '2000']",180,France  Guinea-Bissau,midfield Defensive Midfield,right,Palermo FC,1,8,,,130,Footinveston
22,53622,Ilkay Gündogan,"['Oct', '24', '1990']",180,Germany,midfield Central Midfield,right,Manchester City,108,66,,,554,KIN Partners
23,583199,James McAtee,"['Oct', '18', '2002']",180,England,midfield Central Midfield,left,Sheffield United,55,33,,,138,YMU Group
24,433183,Tommy Doyle,"['Oct', '17', '2001']",172,England,midfield Central Midfield,right,Sheffield United,20,31,,,158,Unique Sports Group
25,88755,Kevin De Bruyne,"['Jun', '28', '1991']",181,Belgium,midfield Attacking Midfield,right,Manchester City,143,233,,,582,
26,241641,Bernardo Silva,"['Aug', '10', '1994']",173,Portugal,midfield Attacking Midfield,left,Manchester City,90,84,,,491,Gestifute
27,568177,Cole Palmer,"['May', '6', '2002']",189,England,midfield Attacking Midfield,left,Manchester City,46,21,,,100,CAA Base Ltd
28,661207,Oscar Bobb,"['Jul', '12', '2003']",,Norway  The Gambia,midfield Attacking Midfield,left,Manchester City U21,31,33,,,114,CAA Stellar
29,406635,Phil Foden,"['May', '28', '2000']",171,England,Attack Left Winger,left,Manchester City,80,54,,,255,
30,134425,Raheem Sterling,"['Dec', '8', '1994']",170,England  Jamaica,Attack Left Winger,right,Chelsea FC,171,134,,,527,Relatives
31,203460,Jack Grealish,"['Sep', '10', '1995']",180,England  Ireland,Attack Left Winger,right,Manchester City,54,74,,,382,CAA Stellar
32,398184,Ferran Torres,"['Feb', '29', '2000']",182,Spain,Attack Left Winger,right,FC Barcelona,40,30,,,220,LEADERBROCK
