host_id,host_status,score,match_id,match_date,guest_id,Season,goals_for,goals_against
583,Win,2:1 ,3589530,2022-04-17,244,2021,2,1 
583,Win,2:0 ,3589292,2021-12-12,162,2021,2,0 
583,Win,1:0 ,3589388,2022-02-11,273,2021,1,0 
583,equal,0:0 ,3589262,2021-12-01,417,2021,0,0 
583,Win,4:2 ,3588789,2021-08-14,667,2021,4,2 
583,equal,1:1 ,3589557,2022-04-23,826,2021,1,1 
583,Win,2:1 ,3588917,2021-09-19,1041,2021,2,1 
583,Win,3:1 ,3589206,2021-11-20,995,2021,3,1 
583,Win,2:1 ,3589144,2021-10-29,1082,2021,2,1 
583,Win,2:0 ,3589335,2022-01-15,3911,2021,2,0 
583,Win,4:0 ,3589359,2022-01-23,1421,2021,4,0 
583,Win,2:0 ,3589102,2021-09-25,969,2021,2,0 
583,Win,2:1 ,3589124,2021-10-15,1420,2021,2,1 
583,equal,2:2 ,3589579,2022-05-08,1095,2021,2,2 
583,Win,5:1 ,3589477,2022-04-03,1158,2021,5,1 
583,Win,4:0 ,3588848,2021-09-11,3524,2021,4,0 
583,Win,3:1 ,3589425,2022-02-26,618,2021,3,1 
583,Win,5:0 ,3589606,2022-05-21,347,2021,5,0 
583,Win,3:0 ,3589446,2022-03-13,40,2021,3,0 
244,equal,0:0 ,3589130,2021-10-24,583,2021,0,0 
244,Lost,0:1 ,3589432,2022-03-06,162,2021,0,1 
244,Win,2:0 ,3588915,2021-09-19,273,2021,2,0 
244,Win,2:1 ,3589460,2022-03-20,417,2021,2,1 
244,Win,4:0 ,3589604,2022-05-21,667,2021,4,0 
244,Lost,2:3 ,3589101,2021-09-26,826,2021,2,3 
244,Lost,0:3 ,3589565,2022-05-01,1041,2021,0,3 
244,Win,3:2 ,3589539,2022-04-20,995,2021,3,2 
244,equal,1:1 ,3589332,2022-01-16,1082,2021,1,1 
244,Lost,1:2 ,3589276,2021-12-04,3911,2021,1,2 
244,equal,1:1 ,3589306,2021-12-22,1421,2021,1,1 
244,Win,2:0 ,3589503,2022-04-10,969,2021,2,0 
244,Win,5:2 ,3589362,2022-02-04,1420,2021,5,2 
244,Win,1:0 ,3589226,2021-11-28,1095,2021,1,0 
244,Win,4:1 ,3589121,2021-10-17,1158,2021,4,1 
244,Lost,0:2 ,3589402,2022-02-20,3524,2021,0,2 
244,Win,3:1 ,3588834,2021-08-28,618,2021,3,1 
244,equal,0:0 ,3589170,2021-11-07,347,2021,0,0 
244,equal,2:2 ,3588787,2021-08-15,40,2021,2,2 
162,Win,3:0 ,3589461,2022-03-20,583,2021,3,0 
162,Lost,0:2 ,3588845,2021-09-11,244,2021,0,2 
162,Win,2:1 ,3589307,2021-12-22,273,2021,2,1 
162,Win,1:0 ,3589540,2022-04-20,417,2021,1,0 
162,equal,1:1 ,3589227,2021-11-28,667,2021,1,1 
162,Lost,0:2 ,3588818,2021-08-21,826,2021,0,2 
162,Win,2:0 ,3589363,2022-02-05,1041,2021,2,0 
162,equal,1:1 ,3588767,2021-08-06,995,2021,1,1 
162,equal,2:2 ,3589205,2021-11-19,1082,2021,2,2 
162,Win,4:2 ,3589584,2022-05-14,3911,2021,4,2 
162,Lost,1:2 ,3589423,2022-02-27,1421,2021,1,2 
162,Win,3:1 ,3589131,2021-10-24,969,2021,3,1 
162,Win,2:0 ,3589566,2022-05-01,1420,2021,2,0 
162,Win,2:1 ,3589504,2022-04-10,1095,2021,2,1 
162,equal,0:0 ,3589385,2022-02-13,1158,2021,0,0 
162,Win,4:0 ,3589333,2022-01-16,3524,2021,4,0 
162,Win,3:1 ,3588934,2021-09-22,618,2021,3,1 
162,Win,4:0 ,3589277,2021-12-05,347,2021,4,0 
162,Win,3:0 ,3589111,2021-10-03,40,2021,3,0 
273,Win,2:0 ,3589115,2021-10-03,583,2021,2,0 
273,Win,2:0 ,3589587,2022-05-14,244,2021,2,0 
273,Lost,2:3 ,3589531,2022-04-15,162,2021,2,3 
273,Lost,1:2 ,3589294,2021-12-12,417,2021,1,2 
273,Win,1:0 ,3589135,2021-10-24,667,2021,1,0 
273,equal,1:1 ,3588770,2021-08-08,826,2021,1,1 
273,Win,4:1 ,3589174,2021-11-07,1041,2021,4,1 
273,Win,1:0 ,3588821,2021-08-22,995,2021,1,0 
273,Lost,1:2 ,3589263,2021-12-01,1082,2021,1,2 
273,Win,2:0 ,3589366,2022-02-06,3911,2021,2,0 
273,Lost,0:2 ,3588849,2021-09-12,1421,2021,0,2 
273,Win,2:0 ,3589207,2021-11-20,969,2021,2,0 
273,Win,2:0 ,3589436,2022-03-06,1420,2021,2,0 
273,Win,4:1 ,3589406,2022-02-20,1095,2021,4,1 
273,Win,5:0 ,3589559,2022-04-24,1158,2021,5,0 
273,Win,6:0 ,3588937,2021-09-22,3524,2021,6,0 
273,Win,2:0 ,3589568,2022-04-30,618,2021,2,0 
273,Win,6:1 ,3589464,2022-03-20,347,2021,6,1 
273,Win,6:0 ,3589337,2022-01-16,40,2021,6,0 
417,Win,1:0 ,3589434,2022-03-05,583,2021,1,0 
417,equal,1:1 ,3588820,2021-10-27,244,2021,1,1 
417,equal,2:2 ,3588916,2021-09-19,162,2021,2,2 
417,equal,1:1 ,3589476,2022-04-02,273,2021,1,1 
417,Lost,0:3 ,3589279,2021-12-05,667,2021,0,3 
417,Win,2:1 ,3589309,2021-12-22,826,2021,2,1 
417,Win,3:2 ,3589133,2021-10-24,1041,2021,3,2 
417,Win,2:1 ,3589334,2022-01-14,995,2021,2,1 
417,Lost,1:3 ,3589586,2022-05-14,1082,2021,1,3 
417,Win,2:1 ,3589114,2021-10-02,3911,2021,2,1 
417,equal,0:0 ,3588769,2021-08-08,1421,2021,0,0 
417,Lost,0:1 ,3589172,2021-11-07,969,2021,0,1 
417,Win,1:0 ,3589404,2022-02-20,1420,2021,1,0 
417,Win,1:0 ,3589556,2022-04-24,1095,2021,1,0 
417,Win,2:1 ,3589529,2022-04-17,1158,2021,2,1 
417,Lost,0:1 ,3589364,2022-02-06,3524,2021,0,1 
417,Win,4:2 ,3589578,2022-05-11,618,2021,4,2 
417,Lost,0:1 ,3589229,2021-11-27,347,2021,0,1 
417,Win,4:0 ,3588836,2021-08-28,40,2021,4,0 
667,equal,3:3 ,3589569,2022-04-29,583,2021,3,3 
667,Lost,0:2 ,3589295,2021-12-12,244,2021,0,2 
667,Win,1:0 ,3589447,2022-03-13,162,2021,1,0 
667,Win,2:1 ,3589542,2022-04-20,273,2021,2,1 
667,equal,0:0 ,3589426,2022-02-26,417,2021,0,0 
667,Win,1:0 ,3589479,2022-04-03,826,2021,1,0 
667,equal,1:1 ,3589506,2022-04-10,1041,2021,1,1 
667,Win,1:0 ,3589368,2022-02-06,995,2021,1,0 
667,Lost,1:2 ,3589105,2021-09-25,1082,2021,1,2 
667,Win,3:1 ,3588838,2021-08-29,3911,2021,3,1 
667,equal,1:1 ,3589208,2021-11-21,1421,2021,1,1 
667,Win,3:1 ,3589339,2022-01-16,969,2021,3,1 
667,Lost,0:2 ,3588772,2021-08-08,1420,2021,0,2 
667,equal,1:1 ,3588823,2021-08-22,1095,2021,1,1 
667,Win,4:0 ,3589145,2021-10-31,1158,2021,4,0 
667,Win,1:0 ,3589589,2022-05-14,3524,2021,1,0 
667,Win,5:1 ,3589125,2021-10-17,618,2021,5,1 
667,Win,3:0 ,3588920,2021-09-17,347,2021,3,0 
