nation,club_id,club_name,cup_name,win_year_from,win_year_to
England,281,Manchester City,English Champion,2021,2022
England,281,Manchester City,English Champion,2020,2021
England,281,Manchester City,English Champion,2018,2019
England,281,Manchester City,English Champion,2017,2018
England,281,Manchester City,FA Cup Winner,2018,2019
England,281,Manchester City,English League Cup winner,2020,2021
England,281,Manchester City,English League Cup winner,2019,2020
England,281,Manchester City,English League Cup winner,2018,2019
England,281,Manchester City,English League Cup winner,2017,2018
England,281,Manchester City,English League Cup winner,2015,2016
England,281,Manchester City,English Supercup Winner,2019,2020
England,281,Manchester City,English Supercup Winner,2018,2019
England,631,Chelsea FC,Champions League Winner,2020,2021
England,631,Chelsea FC,FIFA Club World Cup winner,2021,2022
England,631,Chelsea FC,English Champion,2016,2017
England,631,Chelsea FC,UEFA Supercup Winner,2021,2022
England,631,Chelsea FC,Europa League Winner,2018,2019
England,631,Chelsea FC,FA Cup Winner,2017,2018
England,11,Arsenal FC,FA Cup Winner,2019,2020
England,11,Arsenal FC,FA Cup Winner,2016,2017
England,11,Arsenal FC,English Supercup Winner,2020,2021
England,11,Arsenal FC,English Supercup Winner,2017,2018
England,11,Arsenal FC,English Supercup Winner,2015,2016
England,31,Liverpool FC,Champions League Winner,2018,2019
England,31,Liverpool FC,FIFA Club World Cup winner,2019,2020
England,31,Liverpool FC,English Champion,2019,2020
England,31,Liverpool FC,UEFA Supercup Winner,2019,2020
England,31,Liverpool FC,FA Cup Winner,2021,2022
England,31,Liverpool FC,English League Cup winner,2021,2022
England,985,Manchester United,Europa League Winner,2016,2017
England,985,Manchester United,FA Cup Winner,2015,2016
England,985,Manchester United,English League Cup winner,2016,2017
England,985,Manchester United,English Supercup Winner,2016,2017
England,762,Newcastle United,English 2nd tier champion,2016,2017
England,1003,Leicester City,English Champion,2015,2016
England,1003,Leicester City,FA Cup Winner,2020,2021
England,1003,Leicester City,English Supercup Winner,2021,2022
England,543,Wolverhampton Wanderers,English 2nd tier champion,2017,2018
England,399,Leeds United,English 2nd tier champion,2019,2020
England,931,Fulham FC,English 2nd tier champion,2021,2022
Germany,27,Bayern Munich,Champions League Winner,2019,2020
Germany,27,Bayern Munich,FIFA Club World Cup winner,2020,2021
Germany,27,Bayern Munich,German Champion,2021,2022
Germany,27,Bayern Munich,German Champion,2020,2021
Germany,27,Bayern Munich,German Champion,2019,2020
Germany,27,Bayern Munich,German Champion,2018,2019
Germany,27,Bayern Munich,German Champion,2017,2018
Germany,27,Bayern Munich,German Champion,2016,2017
Germany,27,Bayern Munich,German Champion,2015,2016
Germany,27,Bayern Munich,UEFA Supercup Winner,2020,2021
Germany,27,Bayern Munich,German Cup winner ,2019,2020
Germany,27,Bayern Munich,German Cup winner ,2018,2019
Germany,27,Bayern Munich,German Cup winner ,2015,2016
Germany,27,Bayern Munich,German Super Cup Winner,2021,2022
Germany,27,Bayern Munich,German Super Cup Winner,2020,2021
Germany,27,Bayern Munich,German Super Cup Winner,2018,2019
Germany,27,Bayern Munich,German Super Cup Winner,2017,2018
Germany,27,Bayern Munich,German Super Cup Winner,2016,2017
Germany,16,Borussia Dortmund,German Cup winner ,2020,2021
Germany,16,Borussia Dortmund,German Cup winner ,2016,2017
Germany,16,Borussia Dortmund,German Super Cup Winner,2019,2020
Germany,23826,RB Leipzig,German Cup winner ,2021,2022
Germany,24,Eintracht Frankfurt,Europa League Winner,2021,2022
Germany,24,Eintracht Frankfurt,German Cup winner ,2017,2018
Germany,82,VfL Wolfsburg,German Super Cup Winner,2015,2016
Germany,60,SC Freiburg,German 2. Bundesliga Champion,2015,2016
Germany,79,VfB Stuttgart,German 2. Bundesliga Champion,2016,2017
Germany,3,1.FC Köln,German 2. Bundesliga Champion,2018,2019
Germany,33,FC Schalke 04,German 2. Bundesliga Champion,2021,2022
Germany,80,VfL Bochum,German 2. Bundesliga Champion,2020,2021
Italy,6195,SSC Napoli,Italian Cup winner,2019,2020
Italy,5,AC Milan,Italian Champion,2021,2022
Italy,5,AC Milan,Italian Super Cup winner,2016,2017
Italy,46,Inter Milan,Italian Champion,2020,2021
Italy,46,Inter Milan,Italian Cup winner,2021,2022
Italy,46,Inter Milan,Italian Super Cup winner,2021,2022
Italy,506,Juventus FC,Italian Champion,2019,2020
Italy,506,Juventus FC,Italian Champion,2018,2019
Italy,506,Juventus FC,Italian Champion,2017,2018
Italy,506,Juventus FC,Italian Champion,2016,2017
Italy,506,Juventus FC,Italian Champion,2015,2016
Italy,506,Juventus FC,Italian Cup winner,2020,2021
Italy,506,Juventus FC,Italian Cup winner,2017,2018
Italy,506,Juventus FC,Italian Cup winner,2016,2017
Italy,506,Juventus FC,Italian Cup winner,2015,2016
Italy,506,Juventus FC,Italian Super Cup winner,2020,2021
Italy,506,Juventus FC,Italian Super Cup winner,2018,2019
Italy,506,Juventus FC,Italian Super Cup winner,2015,2016
Italy,12,AS Roma,Conference League winner,2021,2022
Italy,398,SS Lazio,Italian Cup winner,2018,2019
Italy,398,SS Lazio,Italian Super Cup winner,2019,2020
Italy,398,SS Lazio,Italian Super Cup winner,2017,2018
Italy,2919,AC Monza,Italian Lega Pro Champion (A),2019,2020
Italy,2919,AC Monza,Scudetto Serie D,2016,2017
Italy,749,FC Empoli,Italian Serie B champion,2020,2021
Italy,749,FC Empoli,Italian Serie B champion,2017,2018
Italy,1005,US Lecce,Italian Serie B champion,2021,2022
Italy,1005,US Lecce,Italian Lega Pro Champion (C),2017,2018
Italy,2239,US Cremonese,Italian Lega Pro Champion (A),2016,2017
France,583,Paris Saint-Germain,French Champion,2021,2022
France,583,Paris Saint-Germain,French Champion,2019,2020
France,583,Paris Saint-Germain,French Champion,2018,2019
France,583,Paris Saint-Germain,French Champion,2017,2018
France,583,Paris Saint-Germain,French Champion,2015,2016
France,583,Paris Saint-Germain,French Cup winner ,2020,2021
France,583,Paris Saint-Germain,French Cup winner ,2019,2020
France,583,Paris Saint-Germain,French Cup winner ,2017,2018
France,583,Paris Saint-Germain,French Cup winner ,2016,2017
France,583,Paris Saint-Germain,French Cup winner ,2015,2016
France,583,Paris Saint-Germain,French league cup winner,2019,2020
France,583,Paris Saint-Germain,French league cup winner,2017,2018
France,583,Paris Saint-Germain,French league cup winner,2016,2017
France,583,Paris Saint-Germain,French league cup winner,2015,2016
France,583,Paris Saint-Germain,French Supercup Winner,2020,2021
France,583,Paris Saint-Germain,French Supercup Winner,2019,2020
France,583,Paris Saint-Germain,French Supercup Winner,2018,2019
France,583,Paris Saint-Germain,French Supercup Winner,2017,2018
France,583,Paris Saint-Germain,French Supercup Winner,2016,2017
France,583,Paris Saint-Germain,French Supercup Winner,2015,2016
France,162,AS Monaco,French Champion,2016,2017
