,Club Name,League name,Average age of players,Stadium name,Coach name,Coach Date,Club Values
0,FC Barcelona,LaLiga,25.5,Spotify Camp Nou,Ernesto Valverde,"Jul 1, 2017",€767.00m
1,Real Madrid,LaLiga,27.4,Santiago Bernabéu,Zinédine Zidane,"Jan 4, 2016",€860.80m
2,Atlético de Madrid,LaLiga,28.5,Civitas Metropolitano,Diego Simeone,"Dec 23, 2011",€457.00m
3,Valencia CF,LaLiga,25.0,Mestalla,Marcelino,"Jul 1, 2017",€225.65m
4,Sevilla FC,LaLiga,28.8,Ramón Sánchez-Pizjuán,Eduardo Berizzo,"Jul 1, 2017",€209.00m
5,Athletic Bilbao,LaLiga,27.8,San Mamés,Cuco Ziganda,"Jul 1, 2017",€226.30m
6,Real Sociedad,LaLiga,25.4,Reale Arena ,Eusebio,"Nov 9, 2015",€376.00m
7,Villarreal CF,LaLiga,28.4,La Cerámica,Fran Escribá,"Aug 11, 2016",€278.20m
8,Celta de Vigo,LaLiga,26.4,Abanca Balaídos,Juan Carlos Unzué,"Jul 1, 2017",€146.20m
9,Real Betis Balompié,LaLiga,29.0,Benito Villamarín,Quique Setién,"Jul 1, 2017",€252.50m
10,RCD Espanyol Barcelona,LaLiga,26.1,RCDE Stadium,Quique Sánchez Flores,"Jul 1, 2016",€113.70m
11,UD Las Palmas,LaLiga2,26.8,Estadio de Gran Canaria,Manolo Márquez,"Jul 3, 2017",€27.00m
12,Girona FC,LaLiga,26.6,Montilivi,Pablo Machín,"Mar 10, 2014",€126.20m
13,Deportivo Alavés,LaLiga2,26.1,Mendizorroza,Luis Zubeldía,"Jul 1, 2017",€34.30m
14,Deportivo de La Coruña,Primera Federación - Grupo I,27.7,Abanca Riazor,Pepe Mel,"Feb 28, 2017",€8.90m
15,Getafe CF,LaLiga,27.8,Coliseum Alfonso Pérez,Pepe Bordalás,"Sep 27, 2016",€136.70m
16,Levante UD,LaLiga2,27.5,Ciutat de València,Juan Muñiz,"Jul 1, 2016",€41.60m
17,SD Eibar,LaLiga2,28.3,Ipurua,José Luis Mendilibar,"Jul 1, 2015",€26.90m
18,CD Leganés,LaLiga2,28.6,Butarque,Asier Garitano,"Jun 28, 2013",€28.20m
19,Málaga CF,LaLiga2,27.9,La Rosaleda,Michel,"Mar 7, 2017",€18.50m
