,Club Name,League name,Average age of players,Stadium name,Coach name,Coach Date,Club Values
0,Bayern Munich,Bundesliga,26.5,Allianz Arena,Pep Guardiola,"Jul 1, 2013",€979.70m
1,Borussia Dortmund,Bundesliga,24.6,SIGNAL IDUNA PARK,Thomas Tuchel,"Jul 1, 2015",€547.70m
2,VfL Wolfsburg,Bundesliga,24.6,Volkswagen Arena,Dieter Hecking,"Jan 1, 2013",€200.70m
3,Bayer 04 Leverkusen,Bundesliga,24.9,BayArena,Roger Schmidt,"Jul 1, 2014",€421.85m
4,FC Schalke 04,Bundesliga,27.3,Veltins-Arena,André Breitenreiter,"Jul 1, 2015",€60.40m
5,Borussia Mönchengladbach,Bundesliga,26.0,Stadion im Borussia-Park,Lucien Favre,"Feb 14, 2011",€223.00m
6,TSG 1899 Hoffenheim,Bundesliga,25.9,PreZero Arena,Markus Gisdol,"Apr 2, 2013",€154.65m
7,1.FSV Mainz 05,Bundesliga,25.1,Mewa Arena,Martin Schmidt,"Feb 17, 2015",€113.70m
8,VfB Stuttgart,Bundesliga,23.6,Mercedes-Benz Arena,Alexander Zorniger,"Jul 1, 2015",€115.95m
9,Hertha BSC,Bundesliga,26.1,Olympiastadion Berlin,Pál Dárdai,"Feb 5, 2015",€92.35m
10,Eintracht Frankfurt,Bundesliga,25.1,Deutsche Bank Park,Armin Veh,"Jul 1, 2015",€294.45m
11,FC Augsburg,Bundesliga,25.3,WWK ARENA,Markus Weinzierl,"Jul 1, 2012",€117.15m
12,1.FC Köln,Bundesliga,24.7,RheinEnergieSTADION,Peter Stöger,"Jul 1, 2013",€101.93m
13,SV Werder Bremen,Bundesliga,25.3,Wohninvest-Weserstadion,Viktor Skrypnyk,"Oct 26, 2014",€80.55m
14,Hamburger SV,2. Bundesliga,23.6,Volksparkstadion,Bruno Labbadia,"Apr 15, 2015",€37.65m
15,Hannover 96,2. Bundesliga,25.0,Heinz-von-Heiden-Arena,Michael Frontzeck,"Apr 20, 2015",€23.53m
16,FC Ingolstadt 04,3. Liga,24.3,Audi Sportpark,Ralph Hasenhüttl,"Oct 7, 2013",€7.35m
17,SV Darmstadt 98,2. Bundesliga,25.6,Merck-Stadion am Böllenfalltor,Dirk Schuster,"Dec 28, 2012",€25.68m
