,Club Name,League name,Average age of players,Stadium name,Coach name,Coach Date,Club Values
0,Real Madrid,LaLiga,27.4,Santiago Bernabéu,Carlo Ancelotti,"Jul 1, 2021",€860.80m
1,FC Barcelona,LaLiga,25.5,Spotify Camp Nou,Ronald Koeman,"Aug 19, 2020",€767.00m
2,Atlético de Madrid,LaLiga,28.5,Civitas Metropolitano,Diego Simeone,"Dec 23, 2011",€457.00m
3,Villarreal CF,LaLiga,28.4,La Cerámica,Unai Emery,"Jul 23, 2020",€278.20m
4,Sevilla FC,LaLiga,28.8,Ramón Sánchez-Pizjuán,Julen Lopetegui,"Jul 1, 2019",€209.00m
5,Real Sociedad,LaLiga,25.4,Reale Arena ,Imanol Alguacil,"Dec 27, 2018",€376.00m
6,Valencia CF,LaLiga,25.0,Mestalla,Pepe Bordalás,"Jul 1, 2021",€225.65m
7,Real Betis Balompié,LaLiga,29.0,Benito Villamarín,Manuel Pellegrini,"Aug 1, 2020",€252.50m
8,Athletic Bilbao,LaLiga,27.8,San Mamés,Marcelino,"Jan 4, 2021",€226.30m
9,Getafe CF,LaLiga,27.8,Coliseum Alfonso Pérez,Michel,"Jul 1, 2021",€136.70m
10,RCD Espanyol Barcelona,LaLiga,26.1,RCDE Stadium,Vicente Moreno,"Aug 4, 2020",€113.70m
11,Celta de Vigo,LaLiga,26.4,Abanca Balaídos,Eduardo Coudet,"Nov 12, 2020",€146.20m
12,CA Osasuna,LaLiga,27.9,El Sadar,Jagoba Arrasate,"Jul 1, 2018",€127.70m
13,Granada CF,LaLiga2,28.0,Nuevo Los Cármenes,Robert Moreno,"Jul 1, 2021",€47.00m
14,Levante UD,LaLiga2,27.5,Ciutat de València,Paco López,"Mar 5, 2018",€41.60m
15,RCD Mallorca,LaLiga,27.9,Mallorca Son Moix,Luis García,"Aug 6, 2020",€93.60m
16,Elche CF,LaLiga,27.7,Manuel Martínez Valero,Fran Escribá,"Feb 14, 2021",€60.70m
17,Cádiz CF,LaLiga,29.0,Nuevo Mirandilla,Álvaro Cervera,"Apr 18, 2016",€62.40m
18,Rayo Vallecano,LaLiga,28.8,Campo de Fútbol de Vallecas,Ramón Colón,"Jul 1, 1959",€95.20m
19,Deportivo Alavés,LaLiga2,26.1,Mendizorroza,Javier Calleja,"Apr 5, 2021",€34.30m
