,Club Name,League name,Average age of players,Stadium name,Coach name,Coach Date,Club Values
0,Paris Saint-Germain,Ligue 1,25.1,Parc des Princes,Laurent Blanc,"Jun 25, 2013",€882.55m
1,AS Monaco,Ligue 1,24.3,Stade Louis-II,Leonardo Jardim,"Jul 1, 2014",€324.20m
2,Olympique Lyon,Ligue 1,25.2,Groupama Stadium,Hubert Fournier,"Jul 1, 2014",€231.80m
3,Olympique Marseille,Ligue 1,26.7,Orange Vélodrome,Marcelo Bielsa,"Jul 1, 2014",€259.20m
4,AS Saint-Étienne,Ligue 2,25.1,Stade Geoffroy-Guichard,Christophe Galtier,"Dec 16, 2009",€39.00m
5,Stade Rennais FC,Ligue 1,24.5,Roazhon Park,Philippe Montanier,"Jul 1, 2013",€320.30m
6,FC Girondins Bordeaux,Ligue 2,22.7,Matmut Atlantique,Willy Sagnol,"Jul 1, 2014",€33.20m
7,OGC Nice,Ligue 1,24.3,Allianz Riviera,Claude Puel,"May 23, 2012",€235.60m
8,LOSC Lille,Ligue 1,26.0,Decathlon Arena-Stade Pierre-Mauroy,Hervé Renard,"May 26, 2015",€220.90m
9,FC Lorient,Ligue 1,24.6,Stade du Moustoir,Sylvain Ripoll,"Jul 1, 2014",€87.40m
10,Montpellier HSC,Ligue 1,25.7,Stade de la Mosson,Rolland Courbis,"Dec 9, 2013",€115.40m
11,Stade Reims,Ligue 1,24.6,Stade Auguste-Delaune,Olivier Guégan,"Apr 7, 2015",€95.10m
12,FC Toulouse,Ligue 1,24.4,Stadium Municipal,Dominique Arribagé,"Mar 20, 2015",€78.85m
13,FC Nantes,Ligue 1,26.3,Stade de la Beaujoire,Michel Der Zakarian,"May 31, 2012",€123.80m
14,SM Caen,Ligue 2,25.7,Stade Michel-d'Ornano,Patrice Garande,"Jul 1, 2012",€23.55m
15,EA Guingamp,Ligue 2,25.4,Stade du Roudourou,Jocelyn Gourvennec,"Jul 1, 2010",€21.55m
16,Angers SCO,Ligue 1,25.0,Stade Raymond Kopa,Stéphane Moulin,"Jul 1, 2011",€52.20m
17,ESTAC Troyes,Ligue 1,25.4,Stade de l'Aube,Jean-Marc Furlan,"Jun 23, 2010",€77.30m
18,SC Bastia,Ligue 2,27.6,Stade Armand-Cesari,Ghislain Printant,"Nov 4, 2014",€12.30m
19,GFC Ajaccio,National 3 - Corse-Méditerranée,26.8,Stade Ange-Casanova,Thierry Laurey,"Feb 19, 2013",NULL
