,Club Name,League name,Average age of players,Stadium name,Coach name,Coach Date,Club Values
0,Manchester City,Premier League,26.8,Etihad Stadium,Pep Guardiola,"Jul 1, 2016",€1.05bn
1,Liverpool FC,Premier League,26.7,Anfield,Jürgen Klopp,"Oct 8, 2015",€879.00m
2,Tottenham Hotspur,Premier League,26.7,Tottenham Hotspur Stadium,Mauricio Pochettino,"Jul 1, 2014",€680.30m
3,Chelsea FC,Premier League,25.5,Stamford Bridge,Frank Lampard,"Jul 4, 2019",€1.02bn
4,Manchester United,Premier League,26.0,Old Trafford,Ole Gunnar Solskjaer,"Mar 28, 2019",€795.70m
5,Arsenal FC,Premier League,25.2,Emirates Stadium,Unai Emery,"Jul 1, 2018",€890.00m
6,Everton FC,Premier League,27.4,Goodison Park,Marco Silva,"May 31, 2018",€352.90m
7,Leicester City,Premier League,27.0,King Power Stadium,Brendan Rodgers,"Feb 27, 2019",€443.10m
8,Wolverhampton Wanderers,Premier League,26.2,Molineux Stadium,Nuno Espírito Santo,"Jul 1, 2017",€398.70m
9,West Ham United,Premier League,28.2,London Stadium,Manuel Pellegrini,"Jul 1, 2018",€451.50m
10,AFC Bournemouth,Premier League,26.6,Vitality Stadium,Eddie Howe,"Oct 14, 2012",€243.70m
11,Newcastle United,Premier League,27.4,St James' Park,Steve Bruce,"Jul 17, 2019",€494.30m
12,Aston Villa,Premier League,27.2,Villa Park,Dean Smith,"Oct 10, 2018",€437.00m
13,Southampton FC,Premier League,25.5,St Mary's Stadium,Ralph Hasenhüttl,"Dec 6, 2018",€397.00m
14,Brighton & Hove Albion,Premier League,24.8,AMEX Stadium,Graham Potter,"May 20, 2019",€358.70m
15,Watford FC,Championship,26.3,Vicarage Road,Javi Gracia,"Jan 21, 2018",€129.55m
16,Crystal Palace,Premier League,27.0,Selhurst Park,Roy Hodgson,"Sep 12, 2017",€309.95m
17,Burnley FC,Championship,25.1,Turf Moor,Sean Dyche,"Oct 30, 2012",€131.55m
18,Norwich City,Championship,26.0,Carrow Road,Daniel Farke,"Jul 1, 2017",€104.60m
19,Sheffield United,Championship,26.7,Bramall Lane,Chris Wilder,"May 12, 2016",€105.20m
