,Club Name,League name,Average age of players,Stadium name,Coach name,Coach Date,Club Values
0,Juventus FC,Serie A,27.0,Allianz Stadium,Massimiliano Allegri,"Jul 16, 2014",€420.70m
1,SSC Napoli,Serie A,26.2,Stadio Diego Armando Maradona,Carlo Ancelotti,"Jul 1, 2018",€629.00m
2,Inter Milan,Serie A,28.5,Giuseppe Meazza,Luciano Spalletti,"Jun 9, 2017",€534.45m
3,AC Milan,Serie A,27.0,Giuseppe Meazza,Gennaro Gattuso,"Nov 28, 2017",€547.25m
4,AS Roma,Serie A,26.2,Olimpico di Roma,Eusebio Di Francesco,"Jun 13, 2017",€317.15m
5,Atalanta BC,Serie A,26.6,Gewiss Stadium,Gian Piero Gasperini,"Jun 14, 2016",€329.50m
6,ACF Fiorentina,Serie A,26.5,Artemio Franchi,Stefano Pioli,"Jul 1, 2017",€236.30m
7,SS Lazio,Serie A,27.2,Olimpico di Roma,Simone Inzaghi,"Jul 8, 2016",€274.15m
8,US Sassuolo,Serie A,25.9,Mapei Stadium - Città del Tricolore,Roberto De Zerbi,"Jul 1, 2018",€171.40m
9,Torino FC,Serie A,24.6,Stadio Olimpico Grande Torino,Walter Mazzarri,"Jan 4, 2018",€169.53m
10,UC Sampdoria,Serie A,26.6,Luigi Ferraris,Marco Giampaolo,"Jul 4, 2016",€71.45m
11,Udinese Calcio,Serie A,25.4,Dacia Arena,Julio Velázquez,"Jul 1, 2018",€143.05m
12,Genoa CFC,Serie B,26.4,Luigi Ferraris,Davide Ballardini,"Nov 6, 2017",€52.55m
13,Cagliari Calcio,Serie B,25.9,Unipol Domus,Rolando Maran,"Jul 1, 2018",€32.80m
14,Bologna FC 1909,Serie A,25.7,Stadio Renato Dall’Ara,Filippo Inzaghi,"Jul 1, 2018",€136.10m
15,FC Empoli,Serie A,25.3,Carlo Castellani,Aurelio Andreazzoli,"Dec 17, 2017",€103.30m
16,SPAL,Serie B,26.0,Paolo Mazza,Leonardo Semplici,"Dec 8, 2014",€16.28m
17,Parma Calcio 1913,Serie B,24.9,Ennio Tardini,Roberto D'Aversa,"Dec 3, 2016",€45.95m
18,Chievo Verona,NULL,,Marcantonio Bentegodi,Lorenzo D'Anna,"Apr 29, 2018",NULL
19,Frosinone Calcio,Serie B,25.4,Benito Stirpe,Moreno Longo,"Jun 14, 2017",€33.50m
