,Club Name,League name,Average age of players,Stadium name,Coach name,Coach Date,Club Values
0,Paris Saint-Germain,Ligue 1,25.1,Parc des Princes,Thomas Tuchel,"Jul 1, 2018",€882.55m
1,Olympique Lyon,Ligue 1,25.2,Groupama Stadium,Sylvinho,"Jul 1, 2019",€231.80m
2,AS Monaco,Ligue 1,24.3,Stade Louis-II,Leonardo Jardim,"Jan 27, 2019",€324.20m
3,LOSC Lille,Ligue 1,26.0,Decathlon Arena-Stade Pierre-Mauroy,Christophe Galtier,"Dec 29, 2017",€220.90m
4,Olympique Marseille,Ligue 1,26.7,Orange Vélodrome,André Villas-Boas,"Jul 1, 2019",€259.20m
5,OGC Nice,Ligue 1,24.3,Allianz Riviera,Patrick Vieira,"Jul 1, 2018",€235.60m
6,Stade Rennais FC,Ligue 1,24.5,Roazhon Park,Julien Stéphan,"Dec 3, 2018",€320.30m
7,FC Girondins Bordeaux,Ligue 2,22.7,Matmut Atlantique,Paulo Sousa,"Mar 8, 2019",€33.20m
8,FC Nantes,Ligue 1,26.3,Stade de la Beaujoire,Vahid Halilhodzic,"Oct 2, 2018",€123.80m
9,AS Saint-Étienne,Ligue 2,25.1,Stade Geoffroy-Guichard,Ghislain Printant,"Jun 6, 2019",€39.00m
10,RC Strasbourg Alsace,Ligue 1,26.6,Stade de la Meinau,Thierry Laurey,"Jul 1, 2016",€98.55m
11,Angers SCO,Ligue 1,25.0,Stade Raymond Kopa,Stéphane Moulin,"Jul 1, 2011",€52.20m
12,Montpellier HSC,Ligue 1,25.7,Stade de la Mosson,Michel Der Zakarian,"May 23, 2017",€115.40m
13,Stade Reims,Ligue 1,24.6,Stade Auguste-Delaune,David Guion,"May 22, 2017",€95.10m
14,FC Toulouse,Ligue 1,24.4,Stadium Municipal,Alain Casanova,"Jun 25, 2018",€78.85m
15,Amiens SC,Ligue 2,24.1,Stade Crédit Agricole la Licorne,Luka Elsner,"Jul 1, 2019",€22.20m
16,FC Metz,Ligue 2,25.0,Stade Saint-Symphorien,Vincent Hognon,"Dec 14, 2018",€25.25m
17,Dijon FCO,Ligue 2,25.8,Stade Gaston-Gérard,Stéphane Jobard,"Jun 20, 2019",€19.85m
18,Nîmes Olympique,Ligue 2,25.4,Stade des Antonins,Bernard Blaquart,"Nov 23, 2015",€15.85m
19,Stade Brestois 29,Ligue 1,25.5,Stade Francis-Le Blé,Olivier Dall'Oglio,"May 31, 2019",€69.00m
