player_id,season,discription,Return_date
245893,2015,Returned,-
39152,2015,Injury,unknown
73396,2015,Injury,Unknown
191217,2015,Returned,-
74869,2015,Injury,"Aug 31, 2023"
258919,2015,Injury,"May 31, 2023"
93176,2015,Injury,"Jun 4, 2023"
182877,2015,Returned,-
207929,2015,Injury,"Jun 12, 2023"
68390,2015,Injury,"May 31, 2023"
93905,2015,Injury,unknown
129476,2015,Injury,"Jun 22, 2023"
28973,2015,Injury,"Jul 31, 2023"
92571,2015,Red card suspension,-
126321,2015,Red card suspension,-
37647,2015,Suspension through sports court ,-
61842,2015,Injury,Unknown
76560,2015,Injury,Unknown
251664,2015,Suspension through sports court ,"Jan 17, 2024"
316125,2015,Injury,Unknown
225083,2015,Injury,"May 29, 2023"
129554,2015,Injury,unknown
245765,2015,Injury,unknown
41416,2015,Joining,"Jul 1, 2023"
57207,2015,Injury,"Jun 30, 2023"
22165,2015,Injury,unknown
183299,2015,Injury,unknown
42412,2015,Injury,Unknown
80197,2015,Red card suspension,"Jun 9, 2023"
87422,2015,Injury,"Jun 30, 2023"
92469,2015,Injury,"Jun 1, 2023"
245893,2016,Returned,-
178314,2016,Injury,"May 29, 2023"
203853,2016,Injury,"Jun 4, 2023"
15956,2016,Yellow card suspension,"May 28, 2023"
387313,2016,Injury,unknown
191217,2016,Returned,-
74869,2016,Injury,"Aug 31, 2023"
93176,2016,Injury,"Jun 4, 2023"
117996,2016,Joining,"Jul 1, 2023"
122153,2016,Injury,"Jun 20, 2023"
203394,2016,Returned,-
3455,2016,Injury,"May 29, 2023"
3333,2016,Joining,"Jul 1, 2023"
131789,2016,Joining,"Jul 1, 2023"
406560,2016,Injury,Unknown
68390,2016,Injury,"May 31, 2023"
126665,2016,transfer,-
21333,2016,Injury,"Jun 30, 2023"
314295,2016,Injury,unknown
92571,2016,Red card suspension,-
37647,2016,Suspension through sports court ,-
40611,2016,Injury,unknown
226968,2016,Injury,unknown
74300,2016,Joining,"Jul 1, 2023"
57207,2016,Injury,"Jun 30, 2023"
353674,2016,Injury,Unknown
229970,2016,Injury,"Jun 30, 2023"
430788,2016,Returned,-
129554,2016,Injury,unknown
66219,2016,Joining,"Jul 1, 2023"
177476,2016,Injury,"Jun 7, 2023"
39471,2016,Injury,unknown
61832,2016,Joining,"Jul 1, 2023"
77274,2016,Injury,"Jun 1, 2023"
192080,2016,Injury,Unknown
102258,2016,Joining,"Jul 1, 2023"
203853,2017,Injury,"Jun 4, 2023"
314288,2017,Injury,unknown
181778,2017,Returned,-
216569,2017,Injury,unknown
179184,2017,Returned,-
222813,2017,Returned,-
3333,2017,Joining,"Jul 1, 2023"
93176,2017,Injury,"Jun 4, 2023"
99343,2017,Injury,Unknown
182877,2017,Returned,-
3455,2017,Injury,"May 29, 2023"
282823,2017,Returned,-
341049,2017,Injury,"Jul 24, 2023"
415912,2017,Returned,-
126321,2017,Red card suspension,-
74869,2017,Injury,"Aug 31, 2023"
293726,2017,Injury,unknown
285845,2017,Joining,"Jul 1, 2023"
55735,2017,Injury,Unknown
340325,2017,Returned,-
93905,2017,Injury,unknown
399369,2017,Injury,"May 31, 2023"
316125,2017,Injury,Unknown
243028,2017,Returned,-
28973,2017,Injury,"Jul 31, 2023"
181380,2017,Joining,"Jul 1, 2023"
41416,2017,Joining,"Jul 1, 2023"
57207,2017,Injury,"Jun 30, 2023"
353674,2017,Injury,Unknown
61842,2017,Injury,Unknown
74960,2017,Returned,-
162029,2017,Injury,"May 31, 2023"
251664,2017,Suspension through sports court ,"Jan 17, 2024"
35249,2017,Injury,Unknown
112052,2017,Injury,unknown
45660,2017,Injury,unknown
34130,2017,Injury,Unknown
