Unnamed: 0,player_id,Season,Date,Left,Joined,MV,Fee
0,40680,21/22,"Jul1,2021",HamburgerSV,BayernMunich,€900k,freetransfer
1,40680,20/21,"Oct3,2020",BayernMunich,HamburgerSV,€3.00m,freetransfer
2,40680,15/16,"Jul1,2015",VfBStuttgart,BayernMunich,€3.50m,€3.50m
3,336307,20/21,"Jun30,2021",1.FCNuremberg,BayernMunich,€600k,Endofloan
4,336307,20/21,"Aug24,2020",BayernMunich,1.FCNuremberg,€700k,loantransfer
5,336307,17/18,"Jul1,2017",FCBayernU19,BayernMunich,-,-
6,336307,16/17,"Jan1,2017",FCBayernU17,FCBayernU19,-,-
7,336307,15/16,"Jan1,2016",FCBayernU16,FCBayernU17,-,-
8,336307,15/16,"Jul1,2015",B.MünchenYth.,FCBayernU16,-,-
9,317444,21/22,"Jun30,2022",Sunderland,BayernMunich,€500k,Endofloan
10,317444,21/22,"Aug31,2021",BayernMunich,Sunderland,€600k,loantransfer
11,317444,18/19,"Jul1,2018",FCBayernU19,BayernMunich,-,-
12,317444,15/16,"Jan1,2016",FCBayernU17,FCBayernU19,-,-
13,317444,15/16,"Jul1,2015",RBLeipzigYth.,FCBayernU17,-,?
14,281963,19/20,"Jul1,2019",AtléticoMadrid,BayernMunich,€70.00m,€80.00m
15,281963,15/16,"Jul1,2015",Atl.MadridB,AtléticoMadrid,-,-
16,344695,21/22,"Jul5,2021",RBLeipzig,BayernMunich,€60.00m,€42.50m
17,344695,16/17,"Jan13,2017",RBSalzburg,RBLeipzig,€5.00m,€18.50m
18,344695,15/16,"Jul11,2015",VAFCU19,RBSalzburg,-,€2.20m
19,166601,17/18,"Jul1,2017",TSGHoffenheim,BayernMunich,€25.00m,€20.00m
20,538996,20/21,"Jul1,2020",ParisSG,BayernMunich,€11.00m,freetransfer
21,538996,19/20,"Jul1,2019",ParisSGU19,ParisSG,-,-
22,538996,18/19,"Jul1,2018",ParisSGU17,ParisSGU19,-,-
23,538996,17/18,"Jul1,2017",PSGYouth,ParisSGU17,-,-
24,578539,21/22,"Jun30,2022",TSGHoffenheim,BayernMunich,€7.50m,Endofloan
25,578539,21/22,"Aug31,2021",BayernMunich,TSGHoffenheim,€7.50m,loantransfer
26,578539,20/21,"Jun30,2021",TSGHoffenheim,BayernMunich,€7.50m,Endofloan
27,578539,20/21,"Feb1,2021",BayernMunich,TSGHoffenheim,€5.00m,Loanfee:€250k
28,578539,20/21,"Jul1,2020",FCBayernII,BayernMunich,€1.80m,-
29,578539,19/20,"Jul1,2019",FCBayernU19,FCBayernII,€50k,-
30,578539,18/19,"Jan24,2019",Dallas,FCBayernU19,€50k,€5.30m
31,578539,18/19,"Dec31,2018",FCBayernU19,Dallas,€50k,Endofloan
32,578539,18/19,"Jul9,2018",Dallas,FCBayernU19,€50k,loantransfer
33,578539,17/18,"Apr12,2018",DallasAcademy,Dallas,-,-
34,578539,17/18,"Jul1,2017",TexansSC,DallasAcademy,-,freetransfer
35,578539,16/17,"Jul1,2016",AlabamaFC,TexansSC,-,freetransfer
36,580193,21/22,"Jan31,2022",BayernMunich,1.FCKöln,€1.30m,loantransfer
37,580193,21/22,"Jan30,2022",FCBayernII,BayernMunich,€1.30m,-
38,580193,20/21,"Jul1,2020",FCBayernU19,FCBayernII,-,-
39,580193,19/20,"Jul4,2019",ChelseaYouth,FCBayernU19,-,freetransfer
40,522248,20/21,"Jul1,2020",FCBayernU19,FCBayernII,-,-
41,522248,19/20,"Jul1,2019",FCBayernU17,FCBayernU19,-,-
42,522248,18/19,"Jul1,2018",FCBayernU16,FCBayernU17,-,-
