,Club Name,League name,Average age of players,Stadium name,Coach name,Coach Date,Club Values
0,Manchester City,Premier League,26.8,Etihad Stadium,Pep Guardiola,"Jul 1, 2016",€1.05bn
1,Chelsea FC,Premier League,25.5,Stamford Bridge,Antonio Conte,"Jul 1, 2016",€1.02bn
2,Liverpool FC,Premier League,26.7,Anfield,Jürgen Klopp,"Oct 8, 2015",€879.00m
3,Manchester United,Premier League,26.0,Old Trafford,José Mourinho,"Jul 1, 2016",€795.70m
4,Tottenham Hotspur,Premier League,26.7,Tottenham Hotspur Stadium,Mauricio Pochettino,"Jul 1, 2014",€680.30m
5,Arsenal FC,Premier League,25.2,Emirates Stadium,Arsène Wenger,"Oct 1, 1996",€890.00m
6,Everton FC,Premier League,27.4,Goodison Park,Ronald Koeman,"Jul 1, 2016",€352.90m
7,Leicester City,Premier League,27.0,King Power Stadium,Craig Shakespeare,"Mar 12, 2017",€443.10m
8,Southampton FC,Premier League,25.5,St Mary's Stadium,Mauricio Pellegrino,"Jul 1, 2017",€397.00m
9,West Ham United,Premier League,28.2,London Stadium,Slaven Bilic,"Jun 9, 2015",€451.50m
10,Crystal Palace,Premier League,27.0,Selhurst Park,Frank de Boer,"Jul 1, 2017",€309.95m
11,Newcastle United,Premier League,27.4,St James' Park,Rafael Benítez,"Mar 11, 2016",€494.30m
12,Watford FC,Championship,26.3,Vicarage Road,Marco Silva,"May 27, 2017",€129.55m
13,Stoke City,Championship,26.7,bet365 Stadium,Mark Hughes,"May 30, 2013",€52.25m
14,Burnley FC,Championship,25.1,Turf Moor,Sean Dyche,"Oct 30, 2012",€131.55m
15,West Bromwich Albion,Championship,27.8,The Hawthorns,Tony Pulis,"Jan 1, 2015",€63.95m
16,Swansea City,Championship,24.8,Swansea.com Stadium,Paul Clement,"Jan 4, 2017",€44.75m
17,Brighton & Hove Albion,Premier League,24.8,AMEX Stadium,Chris Hughton,"Dec 31, 2014",€358.70m
18,AFC Bournemouth,Premier League,26.6,Vitality Stadium,Eddie Howe,"Oct 14, 2012",€243.70m
19,Huddersfield Town,Championship,26.7,John Smith's Stadium,David Wagner,"Nov 9, 2015",€28.25m
