,Club Name,League name,Average age of players,Stadium name,Coach name,Coach Date,Club Values
0,Inter Milan,Serie A,28.5,Giuseppe Meazza,Antonio Conte,"May 31, 2019",€534.45m
1,Juventus FC,Serie A,27.0,Allianz Stadium,Maurizio Sarri,"Jul 1, 2019",€420.70m
2,AC Milan,Serie A,27.0,Giuseppe Meazza,Stefano Pioli,"Oct 9, 2019",€547.25m
3,SSC Napoli,Serie A,26.2,Stadio Diego Armando Maradona,Gennaro Gattuso,"Dec 11, 2019",€629.00m
4,Atalanta BC,Serie A,26.6,Gewiss Stadium,Gian Piero Gasperini,"Jun 14, 2016",€329.50m
5,AS Roma,Serie A,26.2,Olimpico di Roma,Paulo Fonseca,"Jul 1, 2019",€317.15m
6,SS Lazio,Serie A,27.2,Olimpico di Roma,Simone Inzaghi,"Jul 8, 2016",€274.15m
7,ACF Fiorentina,Serie A,26.5,Artemio Franchi,Giuseppe Iachini,"Dec 23, 2019",€236.30m
8,US Sassuolo,Serie A,25.9,Mapei Stadium - Città del Tricolore,Roberto De Zerbi,"Jul 1, 2018",€171.40m
9,Cagliari Calcio,Serie B,25.9,Unipol Domus,Walter Zenga,"Mar 3, 2020",€32.80m
10,Torino FC,Serie A,24.6,Stadio Olimpico Grande Torino,Moreno Longo,"Feb 4, 2020",€169.53m
11,Udinese Calcio,Serie A,25.4,Dacia Arena,Luca Gotti,"Nov 1, 2019",€143.05m
12,Hellas Verona,Serie A,26.4,Marcantonio Bentegodi,Ivan Juric,"Jul 1, 2019",€84.85m
13,Bologna FC 1909,Serie A,25.6,Stadio Renato Dall’Ara,Siniša Mihajlović,"Jan 28, 2019",€136.10m
14,Parma Calcio 1913,Serie B,24.9,Ennio Tardini,Roberto D'Aversa,"Dec 3, 2016",€45.95m
15,UC Sampdoria,Serie A,26.5,Luigi Ferraris,Claudio Ranieri,"Oct 12, 2019",€71.45m
16,Genoa CFC,Serie B,26.4,Luigi Ferraris,Rolando Maran,"Aug 26, 2020",€52.55m
17,Spezia Calcio,Serie A,25.8,Alberto Picco,Vincenzo Italiano,"Jul 1, 2019",€86.30m
18,FC Crotone,Serie C - Girone C,27.0,Ezio Scida,Giovanni Stroppa,"Dec 28, 2018",€8.06m
19,Benevento Calcio,Serie B,26.7,Ciro Vigorito,Filippo Inzaghi,"Jun 22, 2019",€23.24m
