nation,club_id,club_name,cup_name,win_year_from,win_year_to
England,281,Manchester City,English Champion,2022,2023
England,281,Manchester City,English Champion,2021,2022
England,281,Manchester City,English Champion,2020,2021
England,281,Manchester City,English Champion,2018,2019
England,281,Manchester City,English Champion,2017,2018
England,281,Manchester City,English Champion,2013,2014
England,281,Manchester City,English Champion,2011,2012
England,281,Manchester City,English Champion,1967,1968
England,281,Manchester City,English Champion,1936,1937
England,281,Manchester City,Cup Winners Cup Winner,1969,1970
England,281,Manchester City,FA Cup Winner,2018,2019
England,281,Manchester City,FA Cup Winner,2010,2011
England,281,Manchester City,FA Cup Winner,1968,1969
England,281,Manchester City,FA Cup Winner,1955,1956
England,281,Manchester City,FA Cup Winner,1933,1934
England,281,Manchester City,FA Cup Winner,1903,1904
England,281,Manchester City,English League Cup winner,2020,2021
England,281,Manchester City,English League Cup winner,2019,2020
England,281,Manchester City,English League Cup winner,2018,2019
England,281,Manchester City,English League Cup winner,2017,2018
England,281,Manchester City,English League Cup winner,2015,2016
England,281,Manchester City,English League Cup winner,2013,2014
England,281,Manchester City,English League Cup winner,1975,1976
England,281,Manchester City,English League Cup winner,1969,1970
England,281,Manchester City,English Supercup Winner,2019,2020
England,281,Manchester City,English Supercup Winner,2018,2019
England,281,Manchester City,English Supercup Winner,2012,2013
England,281,Manchester City,English Supercup Winner,1972,1973
England,281,Manchester City,English Supercup Winner,1968,1969
England,281,Manchester City,English Supercup Winner,1937,1938
England,281,Manchester City,English 2nd tier champion,2001,2002
England,281,Manchester City,English 2nd tier champion,1965,1966
England,281,Manchester City,English 2nd tier champion,1946,1947
England,281,Manchester City,English 2nd tier champion,1927,1928
England,281,Manchester City,English 2nd tier champion,1909,1910
England,281,Manchester City,English 2nd tier champion,1902,1903
England,281,Manchester City,English 2nd tier champion,1898,1899
England,631,Chelsea FC,Champions League Winner,2020,2021
England,631,Chelsea FC,Champions League Winner,2011,2012
England,631,Chelsea FC,FIFA Club World Cup winner,2021,2022
