,player_id,market_value_y,main_position,club full name,Score,Score_Rank,market_value_Rank
1757,105470,7000000.0,Goalkeeper,Liverpool FC,116.82,61.0,5474.0
7444,593315,150000.0,Goalkeeper,FC Lorient B,113.01,65.0,345.0
1986,119234,3500000.0,Attack Centre Forward,1.FSV Mainz 05,101.55000000000001,94.0,4062.5
198,28021,6000000.0,Goalkeeper,Inter Milan,93.4,128.0,5158.5
3029,182906,1000000.0,Goalkeeper,AC Milan,80.03,185.5,2072.5
4956,315289,3000000.0,Attack Left Winger,Ferencvárosi TC,78.48,193.0,3757.0
3743,229604,4000000.0,Goalkeeper,Villarreal CF,76.63,203.0,4335.5
4740,295313,5000000.0,Attack Centre Forward,1.FC Union Berlin,72.03,226.0,4807.5
80,17965,7000000.0,Goalkeeper,Tottenham Hotspur,71.87,227.0,5474.0
184,27486,6000000.0,Goalkeeper,Elche CF,71.78999999999999,228.0,5158.5
6195,410436,1000000.0,Goalkeeper,Sheffield Wednesday,71.36,230.5,2072.5
3852,238639,7000000.0,Attack Centre Forward,Stade Brestois 29,70.46000000000001,243.0,5474.0
7819,650255,400000.0,Attack Centre Forward,Sampdoria Primavera,70.06,254.0,1120.5
1600,93936,3000000.0,Attack Centre Forward,CA Osasuna,69.81,255.0,3757.0
4438,282144,6000000.0,Defender Centre Back,Borussia Dortmund,69.76,256.0,5158.5
2930,177847,7000000.0,Attack Right Winger,Real Sociedad,69.45,259.0,5474.0
8050,707295,500000.0,Attack Centre Forward,Napoli Primavera,69.16,263.0,1308.0
5438,344869,5000000.0,Attack Centre Forward,FC Famalicão,63.31,326.5,4807.5
604,46413,6000000.0,Attack Centre Forward,CA Osasuna,63.14,332.0,5158.5
1063,68033,7000000.0,Attack Left Winger,AEK Athens,62.78,335.5,5474.0
3239,195778,6000000.0,Goalkeeper,AS Monaco,61.86,343.5,5158.5
6355,427568,500000.0,Goalkeeper,Arsenal FC,59.269999999999996,380.0,1308.0
4771,296802,1500000.0,Goalkeeper,OGC Nice,57.81,409.0,2580.5
2692,163568,7000000.0,Goalkeeper,Stade Rennais FC,57.63,417.5,5474.0
2459,144128,1000000.0,Goalkeeper,Celta de Vigo,57.21,422.0,2072.5
3682,226012,4000000.0,Goalkeeper,Getafe CF,57.03,423.0,4335.5
