,team_title,team_id,game_count,points,uefa_status,team_performance
0,Manchester City,281,38,93,True,2.4473684210526314
1,Liverpool FC,31,38,92,True,2.4210526315789473
2,Chelsea FC,631,38,74,True,1.9473684210526316
3,Tottenham Hotspur,148,38,71,False,1.868421052631579
4,Arsenal FC,11,38,69,False,1.8157894736842106
5,Manchester United,985,38,58,True,1.5263157894736843
6,West Ham United,379,38,56,False,1.4736842105263157
7,Leicester City,1003,38,52,False,1.368421052631579
8,Brighton & Hove Albion,1237,38,51,False,1.3421052631578947
9,Wolverhampton Wanderers,543,38,51,False,1.3421052631578947
10,Newcastle United,762,38,49,False,1.2894736842105263
11,Crystal Palace,873,38,48,False,1.263157894736842
12,Brentford FC,1148,38,46,False,1.2105263157894737
13,Aston Villa,405,38,45,False,1.1842105263157894
14,Southampton FC,180,38,40,False,1.0526315789473684
15,Everton FC,29,38,39,False,1.0263157894736843
16,Leeds United,399,38,38,False,1.0
17,Burnley FC,1132,38,35,False,0.9210526315789473
18,Watford FC,1010,38,23,False,0.6052631578947368
19,Norwich City,1123,38,22,False,0.5789473684210527
20,Olympiacos Piraeus,683,26,65,False,2.5
21,PAOK Thessaloniki,1091,26,53,False,2.0384615384615383
22,AEK Athens,2441,26,46,False,1.7692307692307692
23,Aris Thessaloniki,605,26,45,False,1.7307692307692308
24,Panathinaikos Athens,265,26,42,False,1.6153846153846154
25,PAS Giannina,2671,26,40,False,1.5384615384615385
26,OFI Crete FC,653,26,37,False,1.4230769230769231
27,Asteras Tripolis,6676,26,35,False,1.3461538461538463
28,Panetolikos GFS,6418,26,32,False,1.2307692307692308
29,Volos NPS,60949,26,30,False,1.1538461538461537
30,Ionikos Nikeas,553,26,26,False,1.0
31,Atromitos Athen,3060,26,23,False,0.8846153846153846
32,PAS Lamia 1964,3999,26,18,False,0.6923076923076923
33,Apollon Smyrnis,441,26,13,False,0.5
34,AC Milan,5,38,86,True,2.263157894736842
35,Inter Milan,46,38,84,True,2.210526315789474
36,SSC Napoli,6195,38,79,False,2.0789473684210527
37,Juventus FC,506,38,70,True,1.8421052631578947
38,SS Lazio,398,38,64,False,1.6842105263157894
39,AS Roma,12,38,63,False,1.6578947368421053
40,ACF Fiorentina,430,38,62,False,1.631578947368421
41,Atalanta BC,800,38,59,True,1.5526315789473684
42,Hellas Verona,276,38,53,False,1.394736842105263
43,Torino FC,416,38,50,False,1.3157894736842106
44,US Sassuolo,6574,38,50,False,1.3157894736842106
45,Udinese Calcio,410,38,47,False,1.236842105263158
46,Bologna FC 1909,1025,38,46,False,1.2105263157894737
47,FC Empoli,749,38,41,False,1.0789473684210527
48,UC Sampdoria,1038,38,36,False,0.9473684210526315
49,Spezia Calcio,3522,38,36,False,0.9473684210526315
50,US Salernitana 1919,380,38,31,False,0.8157894736842105
51,Cagliari Calcio,1390,38,30,False,0.7894736842105263
52,Genoa CFC,252,38,28,False,0.7368421052631579
53,Venezia FC,607,38,27,False,0.7105263157894737
54,Paris Saint-Germain,583,38,86,True,2.263157894736842
55,Olympique Marseille,244,38,71,False,1.868421052631579
56,AS Monaco,162,38,69,False,1.8157894736842106
57,Stade Rennais FC,273,38,66,False,1.736842105263158
58,OGC Nice,417,38,66,False,1.736842105263158
59,RC Strasbourg Alsace,667,38,63,False,1.6578947368421053
60,RC Lens,826,38,62,False,1.631578947368421
61,Olympique Lyon,1041,38,61,False,1.605263157894737
62,FC Nantes,995,38,55,False,1.4473684210526316
63,LOSC Lille,1082,38,55,True,1.4473684210526316
64,Stade Brestois 29,3911,38,48,False,1.263157894736842
65,Stade Reims,1421,38,46,False,1.2105263157894737
66,Montpellier HSC,969,38,43,False,1.131578947368421
67,Angers SCO,1420,38,41,False,1.0789473684210527
68,ESTAC Troyes,1095,38,38,False,1.0
69,FC Lorient,1158,38,36,False,0.9473684210526315
70,Clermont Foot 63,3524,38,36,False,0.9473684210526315
71,AS Saint-Étienne,618,38,32,False,0.8421052631578947
72,FC Metz,347,38,31,False,0.8157894736842105
73,FC Girondins Bordeaux,40,38,31,False,0.8157894736842105
74,Real Madrid,418,38,86,True,2.263157894736842
75,FC Barcelona,131,38,73,True,1.9210526315789473
76,Atlético de Madrid,13,38,71,True,1.868421052631579
77,Sevilla FC,368,38,70,True,1.8421052631578947
78,Real Betis Balompié,150,38,65,False,1.7105263157894737
79,Real Sociedad,681,38,62,False,1.631578947368421
80,Villarreal CF,1050,38,59,True,1.5526315789473684
81,Athletic Bilbao,621,38,55,False,1.4473684210526316
82,Valencia CF,1049,38,48,False,1.263157894736842
83,CA Osasuna,331,38,47,False,1.236842105263158
84,Celta de Vigo,940,38,46,False,1.2105263157894737
85,Rayo Vallecano,367,38,42,False,1.105263157894737
86,Elche CF,1531,38,42,False,1.105263157894737
87,RCD Espanyol Barcelona,714,38,42,False,1.105263157894737
88,Getafe CF,3709,38,39,False,1.0263157894736843
89,RCD Mallorca,237,38,39,False,1.0263157894736843
90,Cádiz CF,2687,38,39,False,1.0263157894736843
91,Granada CF,16795,38,38,False,1.0
92,Levante UD,3368,38,35,False,0.9210526315789473
93,Deportivo Alavés,1108,38,31,False,0.8157894736842105
